matchId,createdAt,gameMode,mapName,isCustomMatch,duration,rank,won,DBNOs,assists,boosts,damageDealt,deathType,headshotKills,heals,killPlace,killPoints,killPointsDelta,killStreaks,kills,lastKillPoints,lastWinPoints,longestKill,mostDamage,rankPoints,revives,rideDistance,roadKills,swimDistance,teamKills,timeSurvived,vehicleDestroys,walkDistance,weaponsAcquired,winPlace,winPoints,winPointsDelta,teammates,telemetryDataURL
26da6afa-c841-4ac0-8a79-99dcafee7596,2019-01-10T15:03:11Z,squad,Savage_Main,False,1322,1,,5,2,4,1089.29565,alive,2,1,1,0,0,2,10,0,0,117.964264,0,0,1,1560.08386,0,0,0,1322.145,0,1993.22107,8,1,0,0,account.03944743ec7444c788f6559b0c0c9938&account.c4b25e161d2d47c98014bf8744bbfc22,https://telemetry-cdn.playbattlegrounds.com/bluehole-pubg/pc-kakao/2019/01/10/15/26/24462eef-14ec-11e9-9fb6-0a58647437f8-telemetry.json
499a915c-113e-4dea-a79d-37f76ce52811,2019-01-10T14:43:31Z,squad,Savage_Main,False,1376,7,,2,1,4,490.5501,byplayer,1,2,3,0,0,2,6,0,0,82.267395,0,0,0,2216.9917,1,0,0,1023.566,0,1867.59265,4,7,0,0,account.03944743ec7444c788f6559b0c0c9938&account.c4b25e161d2d47c98014bf8744bbfc22,https://telemetry-cdn.playbattlegrounds.com/bluehole-pubg/pc-kakao/2019/01/10/15/08/863fe3bf-14e9-11e9-8c1b-0a5864751e1f-telemetry.json
e7ab034f-a784-4949-b9d8-bf1be636e80e,2019-01-10T14:20:51Z,squad,DihorOtok_Main,False,1851,10,,6,1,7,783.8019,byplayer,1,7,2,0,0,2,6,0,0,320.2014,0,0,0,0,0,0,0,1264.208,0,2615.977,4,10,0,0,account.03944743ec7444c788f6559b0c0c9938&account.c4b25e161d2d47c98014bf8744bbfc22,https://telemetry-cdn.playbattlegrounds.com/bluehole-pubg/pc-kakao/2019/01/10/14/53/72640a3a-14e7-11e9-8be4-0a5864753124-telemetry.json
78349d89-5f8b-4a20-93b0-b001980d6844,2019-01-10T13:53:03Z,squad,DihorOtok_Main,False,1925,5,,3,2,8,965.7492,byplayer,1,6,1,0,0,1,6,0,0,24.17218,0,0,0,1336.759,0,0,0,1422.887,0,2189.17236,5,5,0,0,account.03944743ec7444c788f6559b0c0c9938&account.c4b25e161d2d47c98014bf8744bbfc22,https://telemetry-cdn.playbattlegrounds.com/bluehole-pubg/pc-kakao/2019/01/10/14/26/bdce10ee-14e3-11e9-8056-0a58647509e4-telemetry.json
fdb75f75-0c61-4f8c-8c27-655ee4a8e01a,2019-01-10T13:46:11Z,squad,DihorOtok_Main,False,1789,27,,0,0,0,84.28001,byplayer,0,0,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,146.387,0,52.14033,1,27,0,0,account.03944743ec7444c788f6559b0c0c9938&account.c4b25e161d2d47c98014bf8744bbfc22,https://telemetry-cdn.playbattlegrounds.com/bluehole-pubg/pc-kakao/2019/01/10/14/17/79007274-14e2-11e9-8adf-0a5864752008-telemetry.json
6e269766-e479-4e68-a867-8bccb0e89012,2019-01-10T13:18:16Z,squad,Savage_Main,False,1383,1,,2,2,4,660.1282,alive,0,4,9,0,0,1,3,0,0,25.4075642,0,0,0,0,0,0,0,1383.45,0,3004.213,6,1,0,0,account.03944743ec7444c788f6559b0c0c9938&account.c4b25e161d2d47c98014bf8744bbfc22&account.b2b33c960d4149bbaa6b13783dde92e3,https://telemetry-cdn.playbattlegrounds.com/bluehole-pubg/pc-kakao/2019/01/10/13/42/9dd943ec-14dd-11e9-9036-0a5864744579-telemetry.json
40f534e9-67f8-42d6-8d07-996221184b0a,2019-01-10T13:09:33Z,squad,Savage_Main,False,1472,16,,1,1,0,277.7,byplayer,0,0,13,0,0,2,3,0,0,11.7324295,0,0,0,0,0,0,0,251.226,0,261.01413,4,16,0,0,account.b2b33c960d4149bbaa6b13783dde92e3&account.03944743ec7444c788f6559b0c0c9938&account.c4b25e161d2d47c98014bf8744bbfc22,https://telemetry-cdn.playbattlegrounds.com/bluehole-pubg/pc-kakao/2019/01/10/13/35/9afdf2d8-14dc-11e9-a715-0a5864752909-telemetry.json
b2cbcc9f-f500-41c5-94ec-dc17f8770636,2019-01-10T13:01:52Z,squad,Savage_Main,False,1372,21,,1,0,0,100,byplayer,0,0,38,0,0,1,1,0,0,9.849178,0,0,0,0,0,0,0,130.923,0,24.51498,2,21,0,0,account.b2b33c960d4149bbaa6b13783dde92e3&account.c4b25e161d2d47c98014bf8744bbfc22&account.03944743ec7444c788f6559b0c0c9938,https://telemetry-cdn.playbattlegrounds.com/bluehole-pubg/pc-kakao/2019/01/10/13/26/4c5cec09-14db-11e9-984b-0a5864747b4f-telemetry.json
2baac3eb-7261-4c0a-9f53-f3da13487c89,2019-01-10T12:48:00Z,squad,Savage_Main,False,1467,16,,4,0,1,538.78,byplayer,0,1,8,0,0,2,3,0,0,18.5849266,0,0,0,0,0,0,0,475.744,0,523.5736,4,16,0,0,account.03944743ec7444c788f6559b0c0c9938&account.c4b25e161d2d47c98014bf8744bbfc22&account.b2b33c960d4149bbaa6b13783dde92e3,https://telemetry-cdn.playbattlegrounds.com/bluehole-pubg/pc-kakao/2019/01/10/13/13/9689d0eb-14d9-11e9-b5f5-0a586474456a-telemetry.json
ae522aac-b71c-4634-8813-4bfe7f0c90b6,2019-01-10T12:23:23Z,squad,DihorOtok_Main,False,1885,28,,0,0,0,0,byplayer,0,0,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,960.281,0,0,0,28,0,0,account.03944743ec7444c788f6559b0c0c9938,https://telemetry-cdn.playbattlegrounds.com/bluehole-pubg/pc-kakao/2019/01/10/12/56/1d4a64fc-14d7-11e9-9e09-0a5864746cf2-telemetry.json
28c439f9-b762-4164-a61b-c3c96ec9ea54,2019-01-10T12:02:46Z,normal-solo,Erangel_Main,True,1364,10,,0,0,0,124.891762,byplayer,1,0,8,0,0,1,1,0,0,0,0,0,0,4096.675,0,40.0599442,0,886.02,0,1997.37891,2,10,0,0,account.03944743ec7444c788f6559b0c0c9938,https://telemetry-cdn.playbattlegrounds.com/bluehole-pubg/pc-kakao/2019/01/10/12/27/0a247b5d-14d3-11e9-8460-0a586472b227-telemetry.json
34d0252e-29ed-4898-a49d-177b80f66725,2019-01-10T11:41:16Z,normal-solo,Erangel_Main,True,3033,7,,0,0,0,0,logout,0,0,8,0,0,0,0,0,0,0,0,0,0,6242.199,0,0,0,612.945,0,706.019348,0,7,0,0,account.03944743ec7444c788f6559b0c0c9938,https://telemetry-cdn.playbattlegrounds.com/bluehole-pubg/pc-kakao/2019/01/10/12/33/ea2da784-14d3-11e9-887a-0a5864746c0a-telemetry.json
c5363d20-1c0e-4af1-bbee-b2711944d15a,2019-01-10T11:18:36Z,squad,Savage_Main,False,1396,12,,2,0,0,485.282532,byplayer,0,0,3,0,0,2,5,0,0,31.2579288,0,0,0,0,0,0,0,1004.151,0,584.7518,5,12,0,0,account.03944743ec7444c788f6559b0c0c9938,https://telemetry-cdn.playbattlegrounds.com/bluehole-pubg/pc-kakao/2019/01/10/11/43/efa61910-14cc-11e9-bea1-0a5864739fa7-telemetry.json
89ffc46e-c516-4917-add8-536d68b4a302,2019-01-10T11:11:36Z,squad,Savage_Main,False,1292,20,,4,0,0,388,byplayer,0,0,17,0,0,1,2,0,0,14.5758715,0,0,0,0,0,0,0,272.341,0,131.439163,3,20,0,0,account.03944743ec7444c788f6559b0c0c9938,https://telemetry-cdn.playbattlegrounds.com/bluehole-pubg/pc-kakao/2019/01/10/11/34/b709b33e-14cb-11e9-887a-0a5864746c0a-telemetry.json
