matchId,createdAt,gameMode,mapName,isCustomMatch,duration,rank,won,DBNOs,assists,boosts,damageDealt,deathType,headshotKills,heals,killPlace,killPoints,killPointsDelta,killStreaks,kills,lastKillPoints,lastWinPoints,longestKill,mostDamage,rankPoints,revives,rideDistance,roadKills,swimDistance,teamKills,timeSurvived,vehicleDestroys,walkDistance,weaponsAcquired,winPlace,winPoints,winPointsDelta,teammates,telemetryDataURL
f6a9bda3-d06c-41bd-a2d4-0589b95b0244,2019-01-13T05:13:11Z,squad,Desert_Main,False,1832,9,,1,0,0,100,byplayer,0,0,27,0,0,1,1,0,0,13.3595943,0,0,0,0,0,0,0,408.2,0,619.188538,6,9,0,0,account.0e4bdaf0bebb49b78c561d34ca7f4d25&account.4f6a62b6460e4c6fbb439decf2587302&account.ec4114a99b044fa290f4af4582e10185&account.7448a86f24704e29b86ae3d66021bfab,https://telemetry-cdn.playbattlegrounds.com/bluehole-pubg/pc-kakao/2019/01/13/05/45/655f1f0d-16f6-11e9-bf74-0a58647445c7-telemetry.json
0b320c29-8c65-407e-93f2-49feabc51d19,2019-01-13T04:43:27Z,squad,Savage_Main,False,1358,1,,6,1,5,857.2064,byplayer,2,4,1,0,0,2,8,0,0,136.924576,0,0,0,1392.35083,0,0,0,1109.113,0,2407.69946,5,1,0,0,account.0e4bdaf0bebb49b78c561d34ca7f4d25&account.9590ecb57dc84e82ae628504caef56f7&account.59ff42426f6949fd8fc4bb25dc41f399&account.e85fd6fba298413d899091b49d91ae29,https://telemetry-cdn.playbattlegrounds.com/bluehole-pubg/pc-kakao/2019/01/13/05/07/24169d9c-16f1-11e9-b67f-0a586472b207-telemetry.json
174d2444-ae16-4e2a-a219-18535c44b14c,2019-01-13T04:21:43Z,squad,Savage_Main,False,1371,5,,0,0,0,77.616,byplayer,0,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,116.659,0,22.6610546,1,5,0,0,account.0e4bdaf0bebb49b78c561d34ca7f4d25&account.9590ecb57dc84e82ae628504caef56f7&account.e85fd6fba298413d899091b49d91ae29&account.59ff42426f6949fd8fc4bb25dc41f399,https://telemetry-cdn.playbattlegrounds.com/bluehole-pubg/pc-kakao/2019/01/13/04/45/1f8007d4-16ee-11e9-add5-0a586475650a-telemetry.json
c522d50f-55cd-4d39-9829-9a06b9d9c045,2019-01-13T03:56:45Z,squad,Savage_Main,False,1380,2,,1,2,4,489.040863,byplayer,1,7,9,0,0,1,3,0,0,75.3883,0,0,0,0,0,0,0,1347.705,0,3698.60718,6,2,0,0,account.0e4bdaf0bebb49b78c561d34ca7f4d25&account.9590ecb57dc84e82ae628504caef56f7&account.59ff42426f6949fd8fc4bb25dc41f399&account.e85fd6fba298413d899091b49d91ae29,https://telemetry-cdn.playbattlegrounds.com/bluehole-pubg/pc-kakao/2019/01/13/04/21/a9c07c34-16ea-11e9-84d7-0a586472b2f7-telemetry.json
ec7701c0-6690-4f3d-8936-838bc89cf713,2019-01-13T03:30:19Z,squad,Savage_Main,False,1468,1,,9,1,5,1102.61133,alive,5,3,1,0,0,3,11,0,0,114.112717,0,0,1,1157.69031,0,0,0,1468.076,0,2551.54663,2,1,0,0,account.0e4bdaf0bebb49b78c561d34ca7f4d25&account.9590ecb57dc84e82ae628504caef56f7&account.e85fd6fba298413d899091b49d91ae29&account.59ff42426f6949fd8fc4bb25dc41f399,https://telemetry-cdn.playbattlegrounds.com/bluehole-pubg/pc-kakao/2019/01/13/03/56/2ec5ecd8-16e7-11e9-84d7-0a586472b2f7-telemetry.json
e3e0fbdb-c742-4cf3-840a-491a25b4b7e4,2019-01-13T03:05:27Z,squad,Savage_Main,False,1344,1,,8,1,4,972.260742,alive,1,1,1,0,0,2,12,0,0,186.987747,0,0,0,0,0,0,0,1344.838,0,2392.08,7,1,0,0,account.0e4bdaf0bebb49b78c561d34ca7f4d25&account.e85fd6fba298413d899091b49d91ae29&account.9590ecb57dc84e82ae628504caef56f7&account.59ff42426f6949fd8fc4bb25dc41f399,https://telemetry-cdn.playbattlegrounds.com/bluehole-pubg/pc-kakao/2019/01/13/03/29/6a7fbbe0-16e3-11e9-99b1-0a5864756508-telemetry.json
6e6c39a9-bc13-4309-8311-7db68f35c2a1,2019-01-13T02:39:47Z,squad,Savage_Main,False,1426,2,,5,1,2,961.6015,byplayer,1,2,7,0,0,1,2,0,0,247.1539,0,0,0,0,0,0,0,929.32,0,2114.55469,4,2,0,0,account.0e4bdaf0bebb49b78c561d34ca7f4d25&account.59ff42426f6949fd8fc4bb25dc41f399&account.9590ecb57dc84e82ae628504caef56f7&account.e85fd6fba298413d899091b49d91ae29,https://telemetry-cdn.playbattlegrounds.com/bluehole-pubg/pc-kakao/2019/01/13/03/05/03c69061-16e0-11e9-b6a8-0a5864746ca1-telemetry.json
eb2833ff-4a98-47e7-a7d2-451734178b47,2019-01-13T02:33:57Z,squad,Savage_Main,False,1350,28,,1,0,0,100,byplayer,1,0,44,0,0,1,1,0,0,7.27489138,0,0,0,0,0,0,0,200.984,0,241.5832,3,28,0,0,account.0e4bdaf0bebb49b78c561d34ca7f4d25&account.e85fd6fba298413d899091b49d91ae29&account.59ff42426f6949fd8fc4bb25dc41f399&account.9590ecb57dc84e82ae628504caef56f7,https://telemetry-cdn.playbattlegrounds.com/bluehole-pubg/pc-kakao/2019/01/13/02/57/0601ae36-16df-11e9-aa1b-0a5864755f02-telemetry.json
6c322edf-5ce3-4912-b6e7-5c3b15f279d0,2019-01-13T02:08:05Z,squad,Savage_Main,False,1311,5,,3,0,2,519.294556,byplayer,0,2,7,0,0,1,3,0,0,223.914,0,0,0,553.889832,0,0,0,705.503,0,1401.971,3,9,0,0,account.4ae36320e5c943f1b82a0351cdab927d&account.0e4bdaf0bebb49b78c561d34ca7f4d25&account.53575a879ffd4eae80ad68832a0aa814&account.6b62b1e5c01c4fcf99fedabf3c485c96,https://telemetry-cdn.playbattlegrounds.com/bluehole-pubg/pc-kakao/2019/01/13/02/31/57102a69-16db-11e9-9de0-0a5864725d31-telemetry.json
632fa541-fa8f-40c0-8458-89b62f638dcb,2019-01-13T01:48:21Z,squad,Savage_Main,False,1337,6,,3,0,0,357.3838,byplayer,1,1,18,0,0,1,2,0,0,61.2412567,0,0,0,0,0,0,0,343.828,0,637.0196,3,6,0,0,account.4ae36320e5c943f1b82a0351cdab927d&account.0e4bdaf0bebb49b78c561d34ca7f4d25&account.6b62b1e5c01c4fcf99fedabf3c485c96&account.229e1b58022c450c8ac3be16f05002ef,https://telemetry-cdn.playbattlegrounds.com/bluehole-pubg/pc-kakao/2019/01/13/02/12/a31c4c39-16d8-11e9-9de0-0a5864725d31-telemetry.json
