matchId,createdAt,gameMode,mapName,isCustomMatch,duration,rank,won,DBNOs,assists,boosts,damageDealt,deathType,headshotKills,heals,killPlace,killPoints,killPointsDelta,killStreaks,kills,lastKillPoints,lastWinPoints,longestKill,mostDamage,rankPoints,revives,rideDistance,roadKills,swimDistance,teamKills,timeSurvived,vehicleDestroys,walkDistance,weaponsAcquired,winPlace,winPoints,winPointsDelta,teammates,telemetryDataURL
5cde0105-c923-42e7-bc28-ae329a6a431e,2019-01-14T11:14:29Z,squad,Savage_Main,False,1376,24,,0,0,0,0,byplayer,0,0,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,683.83,0,0,0,28,0,0,account.3b1e1536ae6a4f37b9de60a8144e7b2d&account.22da1dec8232490999249782cfa63144&account.0ba700f4ce8444c5b9298d7797a602ae&account.42d58d8aa28444bf9de63dee61f1de44,https://telemetry-cdn.playbattlegrounds.com/bluehole-pubg/pc-kakao/2019/01/14/11/38/f254a651-17f0-11e9-a866-0a5864755f58-telemetry.json
7efad3c0-3be1-4dd6-9f11-da4e8aa798c9,2019-01-14T10:38:39Z,squad,Savage_Main,False,1393,7,,5,1,6,392.1032,byplayer,1,2,7,0,0,1,4,0,0,117.374573,0,0,2,450.079468,0,0,0,1178.579,0,3472.86743,5,7,0,0,account.846007de87894dd99c078a7c5025b91e&account.22da1dec8232490999249782cfa63144&account.0ba700f4ce8444c5b9298d7797a602ae&account.fb330b6fe03a4593a4ab59a3dedb3beb,https://telemetry-cdn.playbattlegrounds.com/bluehole-pubg/pc-kakao/2019/01/14/11/03/fd1f67c6-17eb-11e9-9c2b-0a5864755f60-telemetry.json
08e8cf2d-87d8-4d51-9358-4f2b860f8cf3,2019-01-14T10:08:58Z,squad,Savage_Main,False,1347,5,,3,0,6,663.379,byplayer,0,4,2,0,0,1,6,0,0,40.8285942,0,0,0,0,0,0,0,1114.133,0,2499.119,6,5,0,0,account.846007de87894dd99c078a7c5025b91e&account.22da1dec8232490999249782cfa63144&account.0ba700f4ce8444c5b9298d7797a602ae&account.fb330b6fe03a4593a4ab59a3dedb3beb,https://telemetry-cdn.playbattlegrounds.com/bluehole-pubg/pc-kakao/2019/01/14/10/32/b34d25aa-17e7-11e9-9a16-0a586472b246-telemetry.json
b1f57fd2-a7b4-4b41-a773-cf552398eb6d,2019-01-14T09:44:13Z,squad,Savage_Main,False,1284,1,,2,5,6,766.8498,alive,2,2,2,0,0,2,7,0,0,61.49102,0,0,0,0,0,0,0,1284.218,0,2990.42383,2,1,0,0,account.fb330b6fe03a4593a4ab59a3dedb3beb&account.846007de87894dd99c078a7c5025b91e&account.22da1dec8232490999249782cfa63144&account.0ba700f4ce8444c5b9298d7797a602ae,https://telemetry-cdn.playbattlegrounds.com/bluehole-pubg/pc-kakao/2019/01/14/10/07/25a323bb-17e4-11e9-9353-0a5864756571-telemetry.json
a1aba003-5dcb-450b-a63b-cf71fa49162f,2019-01-14T09:16:30Z,squad,Savage_Main,False,1420,1,,10,1,9,1528.59814,logout,7,6,1,0,0,3,15,0,0,62.7757759,0,0,0,0,0,0,0,1420.561,0,3470.11475,7,1,0,0,account.fb330b6fe03a4593a4ab59a3dedb3beb&account.846007de87894dd99c078a7c5025b91e&account.0ba700f4ce8444c5b9298d7797a602ae&account.22da1dec8232490999249782cfa63144,https://telemetry-cdn.playbattlegrounds.com/bluehole-pubg/pc-kakao/2019/01/14/09/41/97c8afc3-17e0-11e9-ad2a-0a586475656b-telemetry.json
44601c84-4661-4102-8a62-a31ebd23a0dd,2019-01-13T20:20:41Z,squad,Savage_Main,False,1475,5,,3,1,7,645.032,byplayer,1,2,12,0,0,3,3,0,0,83.6763153,0,0,0,207.960388,0,0,0,1360.038,0,3133.96387,4,5,0,0,account.ae168348e1c94728b441768ad747714d&account.22da1dec8232490999249782cfa63144&account.40669608cd3a4f2c8c658abda5f6fdb8&account.1274c19a2a364dfab226260a38f8a019,https://telemetry-cdn.playbattlegrounds.com/bluehole-pubg/pc-kakao/2019/01/13/20/46/575a1dfe-1774-11e9-b065-0a5864739fe4-telemetry.json
fe97f2fc-e2aa-41c2-bcc9-6f04d789b66b,2019-01-13T19:55:57Z,squad,Savage_Main,False,1343,1,,4,1,4,541.0392,byplayer,2,1,2,0,0,2,6,0,0,59.15248,0,0,0,0,0,0,0,1090.631,0,3103.788,2,1,0,0,account.ae168348e1c94728b441768ad747714d&account.22da1dec8232490999249782cfa63144&account.40669608cd3a4f2c8c658abda5f6fdb8&account.1274c19a2a364dfab226260a38f8a019,https://telemetry-cdn.playbattlegrounds.com/bluehole-pubg/pc-kakao/2019/01/13/20/19/8a1f74a3-1770-11e9-8bbf-0a5864744529-telemetry.json
52e462f6-1fea-493f-ae6e-261e8b33573c,2019-01-13T19:28:36Z,squad,Savage_Main,False,1507,1,,3,0,5,400.000031,byplayer,1,1,6,0,0,2,4,0,0,100.393173,0,0,0,296.349426,0,0,0,1183.278,0,2617.97241,5,1,0,0,account.ae168348e1c94728b441768ad747714d&account.22da1dec8232490999249782cfa63144&account.40669608cd3a4f2c8c658abda5f6fdb8&account.1274c19a2a364dfab226260a38f8a019,https://telemetry-cdn.playbattlegrounds.com/bluehole-pubg/pc-kakao/2019/01/13/19/55/21ecc59e-176d-11e9-bed2-0a5864756553-telemetry.json
9a675ff8-ef0a-42c4-aeb5-9f1156e1eb0b,2019-01-13T19:05:12Z,squad,Savage_Main,False,1368,4,,6,0,8,839.1138,byplayer,1,0,1,0,0,4,9,0,0,87.3910446,0,0,1,0,0,0,0,1304.296,0,2840.41382,5,4,0,0,account.ae168348e1c94728b441768ad747714d&account.22da1dec8232490999249782cfa63144&account.40669608cd3a4f2c8c658abda5f6fdb8&account.1274c19a2a364dfab226260a38f8a019,https://telemetry-cdn.playbattlegrounds.com/bluehole-pubg/pc-kakao/2019/01/13/19/29/8ab8f044-1769-11e9-9389-0a5864756549-telemetry.json
b698b996-1680-4569-a836-8821ac636c0d,2019-01-13T18:36:59Z,squad,Savage_Main,False,1450,2,,4,5,9,1168.84973,byplayer,5,8,1,0,0,1,9,0,0,360.994141,0,0,0,530.62384,0,0,0,1442.296,0,3233.47876,6,2,0,0,account.22da1dec8232490999249782cfa63144&account.ae168348e1c94728b441768ad747714d&account.40669608cd3a4f2c8c658abda5f6fdb8&account.1274c19a2a364dfab226260a38f8a019,https://telemetry-cdn.playbattlegrounds.com/bluehole-pubg/pc-kakao/2019/01/13/19/02/cb156d95-1765-11e9-9597-0a5864750af5-telemetry.json
