matchId,createdAt,gameMode,mapName,isCustomMatch,duration,rank,won,DBNOs,assists,boosts,damageDealt,deathType,headshotKills,heals,killPlace,killPoints,killPointsDelta,killStreaks,kills,lastKillPoints,lastWinPoints,longestKill,mostDamage,rankPoints,revives,rideDistance,roadKills,swimDistance,teamKills,timeSurvived,vehicleDestroys,walkDistance,weaponsAcquired,winPlace,winPoints,winPointsDelta,teammates,telemetryDataURL
97a44c9c-301d-48d0-a0fc-f5b9ff55ae06,2019-01-13T11:12:38Z,squad,Savage_Main,False,1332,4,,10,1,1,1320.40588,byplayer,2,2,2,0,0,3,13,0,0,14.8024158,0,0,1,27046.0371,11,0,0,1258.604,0,180.735748,1,4,0,0,account.255ea24e39ae423ba1267bb1ddf165a2&account.8b1924c2f08f40798115e60ca5d046fa&account.14306071e20645ff834f0bc0c03ac4e6&account.b695aebb83de4a6b9ed944d2f760e0aa,https://telemetry-cdn.playbattlegrounds.com/bluehole-pubg/pc-kakao/2019/01/13/11/36/71edd03d-1727-11e9-8bbf-0a5864744529-telemetry.json
eacf0e87-7c07-44e5-a4cc-ab52831ef3dd,2019-01-13T10:55:04Z,squad,Savage_Main,False,1487,11,,0,0,0,0,suicide,0,0,61,0,0,0,0,0,0,0,0,0,0,380.0697,0,0,1,827.589,0,816.0986,2,11,0,0,account.8b1924c2f08f40798115e60ca5d046fa&account.255ea24e39ae423ba1267bb1ddf165a2&account.14306071e20645ff834f0bc0c03ac4e6&account.b695aebb83de4a6b9ed944d2f760e0aa,https://telemetry-cdn.playbattlegrounds.com/bluehole-pubg/pc-kakao/2019/01/13/11/21/5ac2df6c-1725-11e9-b5df-0a5864754b56-telemetry.json
ff8ff590-2d82-4308-b28f-d436f7138a4f,2019-01-13T10:38:24Z,squad,Savage_Main,False,1349,10,,4,1,1,543.871338,byplayer,2,1,5,0,0,1,4,0,0,221.128326,0,0,0,1981.72925,0,0,0,828.311,0,1478.10754,3,10,0,0,account.8b1924c2f08f40798115e60ca5d046fa&account.255ea24e39ae423ba1267bb1ddf165a2&account.14306071e20645ff834f0bc0c03ac4e6&account.b695aebb83de4a6b9ed944d2f760e0aa,https://telemetry-cdn.playbattlegrounds.com/bluehole-pubg/pc-kakao/2019/01/13/11/02/b33e2ce2-1722-11e9-861e-0a586475750e-telemetry.json
eafeacd0-c6a4-4a58-ade3-43cf84552df4,2019-01-13T10:18:58Z,squad,Erangel_Main,False,1821,13,,4,0,0,351.152252,byplayer,1,0,8,0,0,1,4,0,0,118.099213,0,0,0,4555.179,1,0,0,958.175,0,1487.72888,3,13,0,0,account.255ea24e39ae423ba1267bb1ddf165a2&account.8b1924c2f08f40798115e60ca5d046fa&account.14306071e20645ff834f0bc0c03ac4e6&account.b695aebb83de4a6b9ed944d2f760e0aa,https://telemetry-cdn.playbattlegrounds.com/bluehole-pubg/pc-kakao/2019/01/13/10/50/1aa267af-1721-11e9-ad7d-0a5864725da0-telemetry.json
39cde20e-aa1f-476b-ae95-2cfb8f23140d,2019-01-13T10:09:58Z,squad,Savage_Main,False,1292,17,,3,0,0,266.558929,byplayer,0,1,12,0,0,2,3,0,0,32.6411247,0,0,1,70.5284,0,0,0,403.999,0,772.086243,3,17,0,0,account.8b1924c2f08f40798115e60ca5d046fa&account.255ea24e39ae423ba1267bb1ddf165a2&account.14306071e20645ff834f0bc0c03ac4e6&account.b695aebb83de4a6b9ed944d2f760e0aa,https://telemetry-cdn.playbattlegrounds.com/bluehole-pubg/pc-kakao/2019/01/13/10/32/98626ec4-171e-11e9-8bbf-0a5864744529-telemetry.json
0a931782-8666-46f8-9839-522698d9d374,2019-01-13T09:45:37Z,squad,Savage_Main,False,1341,1,,16,4,1,1817.69946,alive,4,0,2,0,0,4,8,0,0,91.00578,0,0,3,0,0,0,0,1341.362,0,4097.456,4,1,0,0,account.8b1924c2f08f40798115e60ca5d046fa&account.255ea24e39ae423ba1267bb1ddf165a2&account.14306071e20645ff834f0bc0c03ac4e6&account.b695aebb83de4a6b9ed944d2f760e0aa,https://telemetry-cdn.playbattlegrounds.com/bluehole-pubg/pc-kakao/2019/01/13/10/09/4ed7e00a-171b-11e9-bf74-0a58647445c7-telemetry.json
e41491eb-77aa-4354-804c-e6c91b6248d0,2019-01-13T09:34:22Z,squad,Savage_Main,False,1398,17,,1,0,0,100,byplayer,0,0,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,123.3,0,54.23988,2,24,0,0,account.9b18f57a8e6b4b79a29f32ae3ed19c63&account.8b1924c2f08f40798115e60ca5d046fa&account.255ea24e39ae423ba1267bb1ddf165a2&account.d91e06d9e1e8485c9b857a00a10563a7,https://telemetry-cdn.playbattlegrounds.com/bluehole-pubg/pc-kakao/2019/01/13/09/59/ddd52035-1719-11e9-b8e5-0a586475660d-telemetry.json
5f8a2355-1d1b-4d7a-aaae-68fb0837b0e5,2019-01-13T09:26:17Z,squad,DihorOtok_Main,False,1788,21,,4,2,0,504.180023,byplayer,1,2,10,0,0,2,3,0,0,14.5013266,0,0,0,0,0,0,0,744.139,0,343.352661,3,21,0,0,account.9b18f57a8e6b4b79a29f32ae3ed19c63&account.8b1924c2f08f40798115e60ca5d046fa&account.255ea24e39ae423ba1267bb1ddf165a2&account.d91e06d9e1e8485c9b857a00a10563a7,https://telemetry-cdn.playbattlegrounds.com/bluehole-pubg/pc-kakao/2019/01/13/09/57/a62cb610-1719-11e9-ad7d-0a5864725da0-telemetry.json
7dcab572-d5d4-4a62-b6ee-73d5e27f3cbe,2019-01-13T09:11:34Z,solo,DihorOtok_Main,False,1824,75,,0,0,0,187.586685,byplayer,0,0,46,0,0,1,1,0,0,1.80840254,0,0,0,0,0,0,0,184.729,0,148.437683,2,75,0,0,account.255ea24e39ae423ba1267bb1ddf165a2,https://telemetry-cdn.playbattlegrounds.com/bluehole-pubg/pc-kakao/2019/01/13/09/43/ac6b189b-1717-11e9-9c3a-0a5864750af5-telemetry.json
d0ec3b83-713b-4fd1-aff2-1ca66a0c9e8f,2019-01-13T08:42:25Z,squad,Erangel_Main,False,1892,6,,14,2,6,1302.20935,byplayer,7,5,2,0,0,2,11,0,0,104.752785,0,0,0,3336.88184,0,0,0,1644.949,0,2783.2522,4,6,0,0,account.5cdf52efaded497c9797d73ee58daef9&account.b462874a28dd4f97a44e96f0735cffd3&account.b0a22fcc2e2045aa88b82b4af9aa1f74&account.255ea24e39ae423ba1267bb1ddf165a2,https://telemetry-cdn.playbattlegrounds.com/bluehole-pubg/pc-kakao/2019/01/13/09/15/c3056012-1713-11e9-b749-0a586475730c-telemetry.json
