matchId,createdAt,gameMode,mapName,isCustomMatch,duration,rank,won,DBNOs,assists,boosts,damageDealt,deathType,headshotKills,heals,killPlace,killPoints,killPointsDelta,killStreaks,kills,lastKillPoints,lastWinPoints,longestKill,mostDamage,rankPoints,revives,rideDistance,roadKills,swimDistance,teamKills,timeSurvived,vehicleDestroys,walkDistance,weaponsAcquired,winPlace,winPoints,winPointsDelta,teammates,telemetryDataURL
495634cd-63a7-4c40-b772-6b78cb66df76,2019-01-14T02:03:17Z,squad,Erangel_Main,False,1774,7,,0,0,0,107.000008,byplayer,0,0,32,0,0,1,1,0,0,46.5927773,0,0,0,75.99746,0,0,0,850.381,0,750.7099,3,21,0,0,account.563195e7b09546ebb718bafc9af27f05&account.9ee8bb7100b04be087ff2b638b678c62&account.6ee089c075524ebeb92ece0bd600e22e&account.30f21c21bb614b67aa86d7b8cdc2f2e9,https://telemetry-cdn.playbattlegrounds.com/bluehole-pubg/pc-kakao/2019/01/14/02/34/e4562350-17a4-11e9-a0bd-0a5864758422-telemetry.json
ee70377a-340e-4133-8e9f-875dbea04cea,2019-01-14T01:51:07Z,duo,Savage_Main,False,1412,17,,6,0,3,568.180054,byplayer,0,1,17,0,0,2,2,0,0,90.30416,0,0,0,0,0,0,1,589.091,0,1602.21887,2,17,0,0,account.d8cb5d662856479fa3ee39b85c49b3e8&account.30f21c21bb614b67aa86d7b8cdc2f2e9,https://telemetry-cdn.playbattlegrounds.com/bluehole-pubg/pc-kakao/2019/01/14/02/16/59597014-17a2-11e9-b8e5-0a586475660d-telemetry.json
aca87a39-cca8-4d20-aab1-931021d3f8f2,2019-01-14T01:22:32Z,squad,Erangel_Main,False,1797,7,,13,0,5,1349.7522,byplayer,1,2,1,0,0,2,11,0,0,261.0343,0,0,1,7352.21436,0,0,1,1573.061,0,2584.04858,6,7,0,0,account.8247d17469904e50b6b33e1e11aaba2f&account.8daf0957be2c4cd9926d7e25942a004b&account.30f21c21bb614b67aa86d7b8cdc2f2e9&account.bb842e586fff4a438c2af487c645bcd5,https://telemetry-cdn.playbattlegrounds.com/bluehole-pubg/pc-kakao/2019/01/14/01/53/3d64fc8e-179f-11e9-a0c8-0a5864747508-telemetry.json
45506e79-ccf8-4691-8e10-f95665267c71,2019-01-14T00:56:02Z,squad,DihorOtok_Main,False,1741,9,,9,2,9,906.8824,byplayer,0,10,1,0,0,3,8,0,0,111.447792,0,0,0,2610.20166,1,0,0,1411.318,0,2125.03442,6,9,0,0,account.8daf0957be2c4cd9926d7e25942a004b&account.30f21c21bb614b67aa86d7b8cdc2f2e9&account.7bfe49a2154f4843abfae42afb54e79f&account.33a7fcd7a2654f49ba5e39090f22e786,https://telemetry-cdn.playbattlegrounds.com/bluehole-pubg/pc-kakao/2019/01/14/01/26/6ec67e08-179b-11e9-a0bd-0a5864758422-telemetry.json
2137556c-a3c8-4124-b227-08dcd3976a49,2019-01-14T00:44:33Z,squad,Savage_Main,False,1425,18,,0,0,0,43,byplayer,0,0,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,185.846,0,52.5812073,1,22,0,0,account.30f21c21bb614b67aa86d7b8cdc2f2e9&account.8daf0957be2c4cd9926d7e25942a004b&account.0ac43327d78b4062a22c1b793d86bfed&account.fb96c9073d3b44e3994324e74b9dc20e,https://telemetry-cdn.playbattlegrounds.com/bluehole-pubg/pc-kakao/2019/01/14/01/09/1284346d-1799-11e9-9389-0a5864756549-telemetry.json
a1cd9d82-f477-4f63-95e3-a1ec669ee9f7,2019-01-14T00:26:39Z,squad,Savage_Main,False,1275,7,,7,0,3,941.2098,byplayer,1,1,1,0,0,2,8,0,0,124.316765,0,0,0,3816.455,0,0,0,874.137,0,779.611267,6,7,0,0,account.df4333b99ec94f7da3f5cbfcf2f471cb&account.30f21c21bb614b67aa86d7b8cdc2f2e9&account.025d4d1172b640b29380fe350bbb361b&account.2aa0ca956b6c4099b45ef1eddd487834,https://telemetry-cdn.playbattlegrounds.com/bluehole-pubg/pc-kakao/2019/01/14/00/49/3b93f9ad-1796-11e9-b121-0a5864753183-telemetry.json
811364f9-3f6f-4f32-a323-c6b9937b8506,2019-01-14T00:12:51Z,squad,Savage_Main,False,1300,5,,0,0,0,0,byplayer,0,0,29,0,0,0,0,0,0,0,0,0,0,2215.89722,0,0,0,661.344,0,1160.50854,2,6,0,0,account.c6519eb4ff1244099c893935b86a3647&account.8daf0957be2c4cd9926d7e25942a004b&account.30f21c21bb614b67aa86d7b8cdc2f2e9&account.ed9a4eb1a76f4d6aa9e68107f1fde9a3,https://telemetry-cdn.playbattlegrounds.com/bluehole-pubg/pc-kakao/2019/01/14/00/35/5721c5c3-1794-11e9-9118-0a586475318d-telemetry.json
606cbc25-8af3-420f-b737-74abed4eacba,2019-01-13T23:59:08Z,squad,Erangel_Main,False,1803,21,,1,0,0,200,byplayer,0,0,20,0,0,1,2,0,0,436.464233,0,0,0,2664.04028,0,0,0,618.57,0,831.3289,2,21,0,0,account.6a130672635b4196981d2bd57c298117&account.30f21c21bb614b67aa86d7b8cdc2f2e9&account.8daf0957be2c4cd9926d7e25942a004b&account.00b5cb9d1c484fc1b06ae964eef71c02,https://telemetry-cdn.playbattlegrounds.com/bluehole-pubg/pc-kakao/2019/01/14/00/30/a030df17-1793-11e9-9228-0a5864739ff9-telemetry.json
d15f840d-45bd-4127-aa36-0d481c63aa09,2019-01-13T23:57:09Z,squad,Savage_Main,False,1371,2,,0,0,0,0,byplayer,0,0,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,621.108,0,0,0,28,0,0,account.36e4792398674ce7a8487ea8264074e2&account.54b5f4fee8804ab1a4fc79fa53932dc8&account.30f21c21bb614b67aa86d7b8cdc2f2e9&account.d4e4e3a43e104895bcd90795bd5e091a,https://telemetry-cdn.playbattlegrounds.com/bluehole-pubg/pc-kakao/2019/01/14/00/21/52a82ab7-1792-11e9-bab1-0a58647546ba-telemetry.json
9892a5c2-a6f3-4a99-98b7-60c70cd81f9a,2019-01-13T23:47:52Z,squad,Erangel_Main,False,1911,23,,1,0,0,28.3100071,byplayer,0,0,72,0,0,0,0,0,0,0,0,0,0,3181.98,0,0,0,375.528,0,283.085266,3,24,0,0,account.30f21c21bb614b67aa86d7b8cdc2f2e9&account.97a9a8d78fd74e339600089f01c213c2&account.e1690f3642e24b90a38efd3fd48fa556&account.b74adb5bdcaf478884b5818c798743ec,https://telemetry-cdn.playbattlegrounds.com/bluehole-pubg/pc-kakao/2019/01/14/00/21/49b15690-1792-11e9-b21a-0a586475730e-telemetry.json
1221de23-e80c-4578-937a-8a3df7a4fd12,2019-01-13T23:08:05Z,squad,Erangel_Main,False,1730,2,,7,0,6,865.3739,byplayer,1,2,1,0,0,2,7,0,0,97.05034,0,0,0,5151.07471,0,0,0,1722.811,0,2391.30469,4,2,0,0,account.30f21c21bb614b67aa86d7b8cdc2f2e9&account.05c2b861361340d88b388ae7163f60c8&account.33e93f691dd7472da4e0ba9255d97c4a&account.ed3244987b8741c7aa2e72acff8dd73b,https://telemetry-cdn.playbattlegrounds.com/bluehole-pubg/pc-kakao/2019/01/13/23/38/52bc8c58-178c-11e9-a0c8-0a5864747508-telemetry.json
1d318653-1c14-45ec-9812-a1e7fa66faf8,2019-01-13T22:53:17Z,squad,Savage_Main,False,1379,15,,1,0,1,168.820023,byplayer,0,0,22,0,0,1,2,0,0,9.148994,0,0,0,877.8016,0,0,0,430.31,0,827.7288,3,15,0,0,account.30f21c21bb614b67aa86d7b8cdc2f2e9&account.5d0b7d4e2bbd4fcc850b79379ebaa802&account.842f88f1153a48c7b47f2dd15dbc82ff&account.e49b2b17fbce419a99d72fc1894ead6d,https://telemetry-cdn.playbattlegrounds.com/bluehole-pubg/pc-kakao/2019/01/13/23/17/6de3f6bd-1789-11e9-a71b-0a586475732c-telemetry.json
f8215690-e57f-4122-891e-c8e368b6868a,2019-01-13T22:46:07Z,squad,Savage_Main,False,1378,25,,1,0,0,0,suicide,0,0,82,0,0,0,0,0,0,0,0,0,0,0,0,0,2,167.499,0,79.35721,3,25,0,0,account.657fb1e4c3694854aa28d9e3f4e90b28&account.ead31505b4d448fbb64deb28735da3aa&account.bb9c868cf10648e19d5be432b657de61&account.30f21c21bb614b67aa86d7b8cdc2f2e9,https://telemetry-cdn.playbattlegrounds.com/bluehole-pubg/pc-kakao/2019/01/13/23/10/6d662064-1788-11e9-b97e-0a58647445c7-telemetry.json
86d1f416-3319-4076-b847-9e4224d92115,2019-01-13T22:11:37Z,squad,DihorOtok_Main,False,1951,1,,12,0,13,1837.21,alive,2,1,1,0,0,3,15,0,0,57.58152,0,0,0,3735.95557,0,0,1,1951.387,1,3450.22168,5,1,0,0,account.30f21c21bb614b67aa86d7b8cdc2f2e9&account.2e6f46559dd64590bb18a5fe8aeebe83&account.0608c478e629453482682d09bf73ee1a&account.3cef4da2010b449095314c49822ca494,https://telemetry-cdn.playbattlegrounds.com/bluehole-pubg/pc-kakao/2019/01/13/22/45/f139c02f-1784-11e9-a0c8-0a5864747508-telemetry.json
9c99cbe1-8b55-49b0-b29d-a22066fcfc24,2019-01-13T21:54:59Z,squad,Erangel_Main,False,1869,5,,3,0,2,464.22,byplayer,1,0,7,0,0,2,4,0,0,113.183105,0,0,0,1963.52332,0,0,0,792.451,0,1266.20264,3,16,0,0,account.cd5ec08041d84155ac2f67066c3fba60&account.fa0873124b6b4278ad3063b0afbfe7f9&account.bf72918a2da54bea98c578465326b9ef&account.30f21c21bb614b67aa86d7b8cdc2f2e9,https://telemetry-cdn.playbattlegrounds.com/bluehole-pubg/pc-kakao/2019/01/13/22/27/6dcf3ba6-1782-11e9-8e02-0a5864725d31-telemetry.json
55ba5d32-a392-4adf-8785-fd6f2f8013f8,2019-01-13T21:46:03Z,squad,DihorOtok_Main,False,1844,22,,0,0,0,75.46,byplayer,0,0,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,414.487,0,1083.203,3,22,0,0,account.44b9984e167644af94e585e87959b7ab&account.30f21c21bb614b67aa86d7b8cdc2f2e9&account.f8474b68da6a49f2b383a3a414cba212&account.a5533b33df284a18af8b138c973a93c2,https://telemetry-cdn.playbattlegrounds.com/bluehole-pubg/pc-kakao/2019/01/13/22/18/20c63822-1781-11e9-b97e-0a58647445c7-telemetry.json
38fff83e-53da-4e3a-9987-815fb760a5d5,2019-01-13T21:36:47Z,squad,Erangel_Main,False,1973,11,,1,0,0,0,suicide,0,0,68,0,0,0,0,0,0,0,0,0,0,1721.49719,0,0,1,546.537,0,533.670349,5,22,0,0,account.30f21c21bb614b67aa86d7b8cdc2f2e9&account.c35931245c5f41d285dcaa56b5cf458a&account.28a48f2bab904188940ecd4a5f16e419&account.4935528157684840adca9a32ee6f331c,https://telemetry-cdn.playbattlegrounds.com/bluehole-pubg/pc-kakao/2019/01/13/22/11/23d14fb4-1780-11e9-9118-0a586475318d-telemetry.json
1d098416-3acd-41fb-a45e-bffbaba39052,2019-01-13T21:17:55Z,squad,Savage_Main,False,1459,7,,11,0,4,1433.72632,byplayer,0,0,1,0,0,3,7,0,0,155.913971,0,0,0,181.9272,0,0,0,1069.936,0,1000.36322,5,7,0,0,account.30f21c21bb614b67aa86d7b8cdc2f2e9&account.3f4cae51d54c40ed8b5a7085e009766d&account.71632b824c7f442fa9efc5dbfef7416d&account.e2cdd7b7e5e849f88dcfee572bd58ad0,https://telemetry-cdn.playbattlegrounds.com/bluehole-pubg/pc-kakao/2019/01/13/21/43/4c1baf1f-177c-11e9-a0c8-0a5864747508-telemetry.json
412db903-acbf-4526-98d0-6013b07dc462,2019-01-13T21:04:20Z,squad,Savage_Main,False,1451,5,,5,0,2,648.6697,byplayer,0,4,3,0,0,2,6,0,0,78.7854462,0,0,0,3986.16113,0,0,0,791.915,0,577.133545,3,14,0,0,account.9032897577a74fe0b87d2fa3feff7dcd&account.30f21c21bb614b67aa86d7b8cdc2f2e9&account.8daf0957be2c4cd9926d7e25942a004b&account.7b14656208c44b5e89b6d5b0a269635d,https://telemetry-cdn.playbattlegrounds.com/bluehole-pubg/pc-kakao/2019/01/13/21/29/60e4a284-177a-11e9-b121-0a5864753183-telemetry.json
a6490ce7-c164-4430-b49b-fdc518e6e883,2019-01-13T20:39:46Z,squad,Savage_Main,False,1370,1,,1,1,3,781.6635,alive,1,3,4,0,0,1,6,0,0,308.291351,0,0,0,5373.64941,0,33.2223358,0,1370.138,1,1703.21375,5,1,0,0,account.40655c673b8f4974b6ab8bbe61de7d30&account.10b452ad4a1f4094a55f2f4c0701260b&account.30f21c21bb614b67aa86d7b8cdc2f2e9&account.8daf0957be2c4cd9926d7e25942a004b,https://telemetry-cdn.playbattlegrounds.com/bluehole-pubg/pc-kakao/2019/01/13/21/04/c3dddc8b-1776-11e9-bab1-0a58647546ba-telemetry.json
e096ee65-44b8-4938-9ff1-36a18b3c0aa1,2019-01-13T20:23:51Z,squad,DihorOtok_Main,False,1907,13,,2,0,1,200.000015,byplayer,0,0,19,0,0,1,2,0,0,6.673203,0,0,0,1539.643,0,0,0,784.322,0,874.1729,4,16,0,0,account.6bbe376458ac41f3823318deb8016e3e&account.30f21c21bb614b67aa86d7b8cdc2f2e9&account.8daf0957be2c4cd9926d7e25942a004b&account.8f43b5df42fd4945be2ca365743ab7bf,https://telemetry-cdn.playbattlegrounds.com/bluehole-pubg/pc-kakao/2019/01/13/20/57/cd509243-1775-11e9-b97e-0a58647445c7-telemetry.json
de8ae26e-bbfe-4b7a-8379-ecd45529ca62,2019-01-13T19:58:36Z,duo,DihorOtok_Main,False,1736,10,,4,0,0,917.595459,byplayer,2,1,1,0,0,2,8,0,0,62.6835022,0,0,0,1057.92065,0,0,0,1271.464,0,1479.58374,9,10,0,0,account.8daf0957be2c4cd9926d7e25942a004b&account.30f21c21bb614b67aa86d7b8cdc2f2e9,https://telemetry-cdn.playbattlegrounds.com/bluehole-pubg/pc-kakao/2019/01/13/20/29/dc43868c-1771-11e9-ae81-0a5864758421-telemetry.json
83a655fe-7fc9-40db-a3b0-49d4a629be96,2019-01-13T19:34:10Z,duo,Savage_Main,False,1305,1,,7,0,8,1038.07983,alive,0,6,1,0,0,2,10,0,0,118.939835,0,0,2,994.4087,0,0,0,1305.777,0,2785.32178,4,1,0,0,account.30f21c21bb614b67aa86d7b8cdc2f2e9&account.8daf0957be2c4cd9926d7e25942a004b,https://telemetry-cdn.playbattlegrounds.com/bluehole-pubg/pc-kakao/2019/01/13/19/57/71bcd948-176d-11e9-a24d-0a5864757336-telemetry.json
08c6d5ba-cd88-4740-a8d6-4bddb7898939,2019-01-13T19:10:58Z,duo,Savage_Main,False,1191,1,,4,3,5,928.8952,alive,2,1,1,0,0,2,8,0,0,144.053772,0,0,0,2422.05933,0,0,0,1191.604,0,2390.81616,6,1,0,0,account.8daf0957be2c4cd9926d7e25942a004b&account.30f21c21bb614b67aa86d7b8cdc2f2e9,https://telemetry-cdn.playbattlegrounds.com/bluehole-pubg/pc-kakao/2019/01/13/19/32/edddbb6e-1769-11e9-9e68-0a5864750a0f-telemetry.json
