matchId,createdAt,gameMode,mapName,isCustomMatch,duration,rank,won,DBNOs,assists,boosts,damageDealt,deathType,headshotKills,heals,killPlace,killPoints,killPointsDelta,killStreaks,kills,lastKillPoints,lastWinPoints,longestKill,mostDamage,rankPoints,revives,rideDistance,roadKills,swimDistance,teamKills,timeSurvived,vehicleDestroys,walkDistance,weaponsAcquired,winPlace,winPoints,winPointsDelta,teammates,telemetryDataURL
8ecc81ef-a0c6-4c53-bf48-82ddaccf1eb7,2019-01-13T21:36:09Z,duo,Savage_Main,False,1434,37,,1,0,0,100,byplayer,0,0,41,0,0,1,1,0,0,47.8455238,0,0,0,0,0,0,0,303.016,0,617.294556,4,37,0,0,account.0c5c78e6af62425a8b3d1e58eb716ca3&account.627e710fb7044c20a926d7a2909e1ccb,https://telemetry-cdn.playbattlegrounds.com/bluehole-pubg/pc-kakao/2019/01/13/22/01/cccfa6d0-177e-11e9-bab1-0a58647546ba-telemetry.json
0436d2b5-5fc8-4aff-ac62-3a4c50ce1b27,2019-01-13T21:11:42Z,duo,Savage_Main,False,1407,4,,7,1,3,1370.411,byplayer,11,4,1,0,0,2,12,0,0,313.721863,0,0,1,0,0,0,0,1291.806,0,2722.51074,10,4,0,0,account.0c5c78e6af62425a8b3d1e58eb716ca3&account.627e710fb7044c20a926d7a2909e1ccb,https://telemetry-cdn.playbattlegrounds.com/bluehole-pubg/pc-kakao/2019/01/13/21/36/4e8e2d2a-177b-11e9-8bbf-0a5864744529-telemetry.json
bf6b23bc-5e4a-4ed7-b8f4-a48ff63836f5,2019-01-13T20:41:34Z,squad,Erangel_Main,False,1881,6,,14,0,2,1389.85986,byplayer,4,0,1,0,0,3,10,0,0,297.822327,0,0,0,1587.65515,0,5.583974,0,1698.541,0,3554.88354,10,6,0,0,account.dcdd8dccbf9342ee9e04210c4d83dc0d&account.627e710fb7044c20a926d7a2909e1ccb&account.0c5c78e6af62425a8b3d1e58eb716ca3&account.46576bf49e12436fb1429799628294d0,https://telemetry-cdn.playbattlegrounds.com/bluehole-pubg/pc-kakao/2019/01/13/21/14/343eae89-1778-11e9-9389-0a5864756549-telemetry.json
7259b47f-e91f-4660-872b-0171aa734dd4,2019-01-13T20:12:42Z,squad,Erangel_Main,False,1883,10,,2,1,2,422.98,byplayer,2,5,10,0,0,1,3,0,0,45.0981827,0,0,0,532.7491,0,0,0,1572.621,0,3191.51636,11,10,0,0,account.3063903f33fc4f2bb2dbc3eea96b9ea0&account.0c5c78e6af62425a8b3d1e58eb716ca3&account.627e710fb7044c20a926d7a2909e1ccb&account.506ad2369f104bf1a3c5ad421ef198dc,https://telemetry-cdn.playbattlegrounds.com/bluehole-pubg/pc-kakao/2019/01/13/20/45/29dcc7a9-1774-11e9-8921-0a5864758b6f-telemetry.json
aa4aafb8-2b13-4f0a-a006-6b1a31c7afe7,2019-01-13T19:54:35Z,solo,DihorOtok_Main,False,1794,49,,0,1,3,145,byplayer,1,2,34,0,0,1,1,0,0,9.762057,0,0,0,0,0,0,0,659.711,0,887.328064,6,49,0,0,account.627e710fb7044c20a926d7a2909e1ccb,https://telemetry-cdn.playbattlegrounds.com/bluehole-pubg/pc-kakao/2019/01/13/20/26/713288b9-1771-11e9-a71b-0a586475732c-telemetry.json
f01958fb-58fe-417d-8cd9-14c366cad5d8,2019-01-13T19:46:44Z,duo,DihorOtok_Main,False,1872,11,,0,0,0,0,byplayer,0,0,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,143.049,0,10.6881285,1,46,0,0,account.0c5c78e6af62425a8b3d1e58eb716ca3&account.627e710fb7044c20a926d7a2909e1ccb,https://telemetry-cdn.playbattlegrounds.com/bluehole-pubg/pc-kakao/2019/01/13/20/19/864efe86-1770-11e9-a0c8-0a5864747508-telemetry.json
43a982c0-7bf5-41d4-bc0c-ab8e2061322e,2019-01-13T19:30:27Z,duo,DihorOtok_Main,False,1820,19,,1,0,0,311.330536,byplayer,0,1,18,0,0,1,2,0,0,42.8527451,0,0,0,0,0,0,0,815.259,0,1217.31543,8,19,0,0,account.0c5c78e6af62425a8b3d1e58eb716ca3&account.627e710fb7044c20a926d7a2909e1ccb,https://telemetry-cdn.playbattlegrounds.com/bluehole-pubg/pc-kakao/2019/01/13/20/02/22cd7521-176e-11e9-9118-0a586475318d-telemetry.json
57aab467-3cb1-44d5-93ea-c315c1789bf2,2019-01-13T19:09:57Z,duo,Erangel_Main,False,1863,20,,1,0,1,190,byplayer,2,1,21,0,0,1,2,0,0,136.233246,0,0,0,3269.383,0,0,0,1101.944,0,1349.08557,10,20,0,0,account.0c5c78e6af62425a8b3d1e58eb716ca3&account.627e710fb7044c20a926d7a2909e1ccb,https://telemetry-cdn.playbattlegrounds.com/bluehole-pubg/pc-kakao/2019/01/13/19/42/5c9523ac-176b-11e9-9b45-0a5864758b57-telemetry.json
9740c2b1-2a51-4c90-a2b4-68b406637bc4,2019-01-13T19:02:52Z,duo,DihorOtok_Main,False,1927,32,,0,0,3,80.6049957,byplayer,0,0,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,328.545,0,268.5056,6,32,0,0,account.0c5c78e6af62425a8b3d1e58eb716ca3&account.627e710fb7044c20a926d7a2909e1ccb,https://telemetry-cdn.playbattlegrounds.com/bluehole-pubg/pc-kakao/2019/01/13/19/36/855759c9-176a-11e9-a0c8-0a5864747508-telemetry.json
0aaed19f-cb17-4bc7-be6c-5ef29fd4f05b,2019-01-13T18:54:23Z,duo,Savage_Main,False,1519,30,,2,0,0,300,byplayer,3,0,13,0,0,2,3,0,0,47.1148,0,0,0,0,0,0,0,384.404,0,729.5779,3,30,0,0,account.0c5c78e6af62425a8b3d1e58eb716ca3&account.627e710fb7044c20a926d7a2909e1ccb,https://telemetry-cdn.playbattlegrounds.com/bluehole-pubg/pc-kakao/2019/01/13/19/21/63909be2-1768-11e9-bab1-0a58647546ba-telemetry.json
