matchId,createdAt,gameMode,mapName,isCustomMatch,duration,rank,won,DBNOs,assists,boosts,damageDealt,deathType,headshotKills,heals,killPlace,killPoints,killPointsDelta,killStreaks,kills,lastKillPoints,lastWinPoints,longestKill,mostDamage,rankPoints,revives,rideDistance,roadKills,swimDistance,teamKills,timeSurvived,vehicleDestroys,walkDistance,weaponsAcquired,winPlace,winPoints,winPointsDelta,teammates,telemetryDataURL
315be332-bb33-4eda-80f6-5c6ad7095ea9,2019-01-13T19:47:46Z,solo,Savage_Main,False,1457,73,,0,0,0,47.3,byplayer,0,0,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,142.642,0,105.418434,1,73,0,0,account.72457a48d2af4127abead9f993c8b4d9,https://telemetry-cdn.playbattlegrounds.com/bluehole-pubg/pc-kakao/2019/01/13/20/13/b1e806c3-176f-11e9-b21a-0a586475730e-telemetry.json
fd91958f-fbea-4f20-baf5-1484cafcafdc,2019-01-13T19:43:18Z,squad,Savage_Main,False,1446,11,,2,0,0,200,byplayer,1,0,41,0,0,1,1,0,0,58.1134224,0,0,0,0,0,0,0,176.863,0,420.4948,2,25,0,0,account.978c28d61e5c451aa9bce035b9dd759e&account.72457a48d2af4127abead9f993c8b4d9&account.a6fbd212f60c44ad9432997214a8f63f&account.b8e27d067908463ca5fb4145cccdcaf6,https://telemetry-cdn.playbattlegrounds.com/bluehole-pubg/pc-kakao/2019/01/13/20/08/09f7e07c-176f-11e9-b97e-0a58647445c7-telemetry.json
25e06bb6-8bba-4a17-bf4c-dbb3b157c655,2019-01-13T19:34:48Z,solo,Savage_Main,False,1400,58,,0,0,0,297.41806,byplayer,1,0,14,0,0,1,3,0,0,29.7789288,0,0,0,0,0,0,0,266.993,0,677.6005,2,58,0,0,account.72457a48d2af4127abead9f993c8b4d9,https://telemetry-cdn.playbattlegrounds.com/bluehole-pubg/pc-kakao/2019/01/13/19/59/c0f51183-176d-11e9-bed2-0a5864756553-telemetry.json
e103cdf4-8508-47ea-9898-725bde19322b,2019-01-13T19:25:12Z,squad,Desert_Main,False,1891,3,,2,0,0,200,byplayer,0,0,29,0,0,1,1,0,0,58.1693268,0,0,0,0,0,0,0,416.408,0,1341.787,3,22,0,0,account.abb217d5dddb46d9baa034743b25d5c1&account.d1a6f80755614f95ab0089f7ad77d0aa&account.72457a48d2af4127abead9f993c8b4d9&account.176afa541c0c467e8fbef09c97f71d9c,https://telemetry-cdn.playbattlegrounds.com/bluehole-pubg/pc-kakao/2019/01/13/19/58/8d664b1a-176d-11e9-b21a-0a586475730e-telemetry.json
4c22bf15-8849-484e-9acf-e2c7d8c31cfd,2019-01-13T19:08:08Z,duo,Savage_Main,False,1365,10,,4,1,6,855.7089,byplayer,1,2,2,0,0,2,7,0,0,327.4089,0,0,0,0,0,0,0,903.961,0,1991.51233,6,12,0,0,account.d926d129bf5146d5b028a60442253bcd&account.72457a48d2af4127abead9f993c8b4d9,https://telemetry-cdn.playbattlegrounds.com/bluehole-pubg/pc-kakao/2019/01/13/19/32/f284a457-1769-11e9-9228-0a5864739ff9-telemetry.json
2f7e3834-4555-49bd-8119-a209050d770a,2019-01-13T19:00:25Z,duo,DihorOtok_Main,False,1954,29,,4,0,2,470.074127,byplayer,1,3,4,0,0,2,4,0,0,105.099007,0,0,0,171.3847,0,0,0,360.845,0,804.067749,5,29,0,0,account.72457a48d2af4127abead9f993c8b4d9&account.39a0c05f4c7141b1b1c47ca3687ba6e3,https://telemetry-cdn.playbattlegrounds.com/bluehole-pubg/pc-kakao/2019/01/13/19/34/414733fa-176a-11e9-a0bd-0a5864758422-telemetry.json
023bcbb2-80bf-44d4-841d-0f6a8afea172,2019-01-13T18:56:49Z,duo,Erangel_Main,False,1888,24,,0,0,0,46.8,byplayer,0,0,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,137.396,0,106.224686,1,38,0,0,account.122c4232881f4f34ab13b733f50ad1b7&account.72457a48d2af4127abead9f993c8b4d9,https://telemetry-cdn.playbattlegrounds.com/bluehole-pubg/pc-kakao/2019/01/13/19/29/96443b93-1769-11e9-b97e-0a58647445c7-telemetry.json
b2e14646-d507-4fec-a678-c9d48c0b1809,2019-01-13T18:50:43Z,squad,Erangel_Main,False,1882,5,,1,0,0,100,byplayer,0,0,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,158.921,0,80.82846,2,27,0,0,account.339b59664cc34126af27ba1d066a3d2d&account.f0f6103123094e4f8f43c63b25a5aa97&account.042e1c6c044d4daf85c9b8f70e28d9ff&account.72457a48d2af4127abead9f993c8b4d9,https://telemetry-cdn.playbattlegrounds.com/bluehole-pubg/pc-kakao/2019/01/13/19/23/b9038fee-1768-11e9-b49c-0a5864758b5d-telemetry.json
322cb57c-dbf9-42bb-aa44-83effffd544f,2019-01-13T18:44:49Z,squad,Erangel_Main,False,1984,20,,1,0,0,130.1,byplayer,0,0,36,0,0,1,1,0,0,9.029281,0,0,0,0,0,0,0,146.975,0,233.644745,1,28,0,0,account.38b8103c21484132927be8bc10a7969b&account.f13953a6095d4b6aa29df9b9d212896e&account.72457a48d2af4127abead9f993c8b4d9,https://telemetry-cdn.playbattlegrounds.com/bluehole-pubg/pc-kakao/2019/01/13/19/19/21fbe537-1768-11e9-8c76-0a5864758807-telemetry.json
2d4734a9-7fdb-48a3-a123-cff669b179b7,2019-01-13T18:16:27Z,squad,Erangel_Main,False,1750,5,,11,0,10,1253.15442,suicide,2,8,1,0,0,3,11,0,0,173.391479,0,0,1,3777.53979,0,0,1,1621.521,0,2943.38354,3,5,0,0,account.2b466707157148dd86c97485b5cef81b&account.15f9089d9fbd41c5b0982292974f0236&account.72457a48d2af4127abead9f993c8b4d9,https://telemetry-cdn.playbattlegrounds.com/bluehole-pubg/pc-kakao/2019/01/13/18/47/9ebe3ab6-1763-11e9-b97e-0a58647445c7-telemetry.json
