matchId,createdAt,gameMode,mapName,isCustomMatch,duration,rank,won,DBNOs,assists,boosts,damageDealt,deathType,headshotKills,heals,killPlace,killPoints,killPointsDelta,killStreaks,kills,lastKillPoints,lastWinPoints,longestKill,mostDamage,rankPoints,revives,rideDistance,roadKills,swimDistance,teamKills,timeSurvived,vehicleDestroys,walkDistance,weaponsAcquired,winPlace,winPoints,winPointsDelta,teammates,telemetryDataURL
979fbc40-9b45-4e8d-88d4-ed3b1951bb49,2019-01-14T03:55:33Z,squad,Desert_Main,False,1959,4,,10,2,3,1303.58,byplayer,10,2,1,0,0,2,12,0,0,254.90799,0,0,1,1804.12378,0,0,0,1768.857,0,2690.14185,8,5,0,0,account.8b876e07e3b7414687d531ab0841bf02&account.172470707b1c46bf99c0c03a34dd550f&account.04da8147d2e64fe7b375d9674f7a4604&account.c8d48b65eeb74690a0edd9c8d5be83c9,https://telemetry-cdn.playbattlegrounds.com/bluehole-pubg/pc-kakao/2019/01/14/04/29/00d98648-17b5-11e9-9228-0a5864739ff9-telemetry.json
df473b5a-3549-4212-845f-58f808c59bdc,2019-01-14T03:22:37Z,squad,Desert_Main,False,1947,6,,8,0,6,1076.77222,byplayer,8,1,1,0,0,2,11,0,0,288.768646,0,0,0,7383.56055,0,0,0,1576.027,0,1411.50732,11,6,0,0,account.8b876e07e3b7414687d531ab0841bf02&account.172470707b1c46bf99c0c03a34dd550f&account.3089cdff3eec4efeaf98b0a6b15a95a9&account.04da8147d2e64fe7b375d9674f7a4604,https://telemetry-cdn.playbattlegrounds.com/bluehole-pubg/pc-kakao/2019/01/14/03/56/613f3fd4-17b0-11e9-8e4f-0a5864758bcc-telemetry.json
18161015-50da-4d78-a4af-cb63454298bf,2019-01-14T03:13:20Z,squad,Erangel_Main,False,1781,11,,0,0,0,0,byplayer,0,0,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,152.274,0,79.4446259,3,26,0,0,account.d4ed534b7ce44d93a00ea6aaa8bbb5a4&account.8b876e07e3b7414687d531ab0841bf02&account.0f7215cd819c4e9ea295a5d2ad7ddfe4&account.04da8147d2e64fe7b375d9674f7a4604,https://telemetry-cdn.playbattlegrounds.com/bluehole-pubg/pc-kakao/2019/01/14/03/44/b3429936-17ae-11e9-b8e5-0a586475660d-telemetry.json
f315582d-af8b-4e1e-ab95-7d627ef4ea1e,2019-01-14T02:48:52Z,squad,Erangel_Main,False,1904,5,,9,0,6,1072.95728,byplayer,6,1,2,0,0,1,9,0,0,198.992,0,0,0,10732.5088,2,0,1,1317.882,1,1258.6,4,11,0,0,account.554cd06061cf40b681ac21f16d718440&account.301b2ca6209c42bd98274b9a6ae0657d&account.8b876e07e3b7414687d531ab0841bf02&account.04da8147d2e64fe7b375d9674f7a4604,https://telemetry-cdn.playbattlegrounds.com/bluehole-pubg/pc-kakao/2019/01/14/03/22/9020e481-17ab-11e9-a0bd-0a5864758422-telemetry.json
ee227257-8ef0-4192-becf-bd9e2640f09d,2019-01-14T02:33:57Z,squad,Savage_Main,False,1349,14,,3,0,0,368.916565,byplayer,2,0,8,0,0,1,4,0,0,118.169853,0,0,0,0,0,0,0,608.854,0,1324.903,2,14,0,0,account.8b876e07e3b7414687d531ab0841bf02&account.8e674164bb2f454ea6980cadb3704a60&account.04da8147d2e64fe7b375d9674f7a4604,https://telemetry-cdn.playbattlegrounds.com/bluehole-pubg/pc-kakao/2019/01/14/02/57/3209158c-17a8-11e9-9118-0a586475318d-telemetry.json
b5d6c1d9-5d62-4028-aa9a-513f9073d826,2019-01-14T02:06:25Z,squad,Savage_Main,False,1373,1,,6,1,9,998.8872,logout,5,11,1,0,0,2,10,0,0,193.913269,0,0,1,0,0,0,0,1372.469,0,3216.4397,5,1,0,0,account.8b876e07e3b7414687d531ab0841bf02&account.8e674164bb2f454ea6980cadb3704a60&account.04da8147d2e64fe7b375d9674f7a4604,https://telemetry-cdn.playbattlegrounds.com/bluehole-pubg/pc-kakao/2019/01/14/02/30/6c060199-17a4-11e9-8e02-0a5864725d31-telemetry.json
e21193f8-114a-4c0f-b39f-44d4a90640ab,2019-01-14T01:39:43Z,squad,Savage_Main,False,1301,1,,9,1,4,930.6758,logout,4,1,1,0,0,2,12,0,0,132.755783,0,0,1,0,0,166.654572,0,1300.881,0,3301.12622,3,1,0,0,account.8e674164bb2f454ea6980cadb3704a60&account.8b876e07e3b7414687d531ab0841bf02&account.04da8147d2e64fe7b375d9674f7a4604,https://telemetry-cdn.playbattlegrounds.com/bluehole-pubg/pc-kakao/2019/01/14/02/02/7d2b5ebf-17a0-11e9-b97e-0a58647445c7-telemetry.json
a40c94d6-9a4a-4f78-a192-6e5744c0a957,2019-01-13T23:41:42Z,squad,Savage_Main,False,1384,15,,3,0,2,448.27182,byplayer,0,1,18,0,0,1,2,0,0,68.70603,0,0,1,0,0,0,0,445.812,0,577.60144,2,15,0,0,account.3bc59b87bedf47b1ad3c62f8f437b7ee&account.8b876e07e3b7414687d531ab0841bf02&account.8e674164bb2f454ea6980cadb3704a60,https://telemetry-cdn.playbattlegrounds.com/bluehole-pubg/pc-kakao/2019/01/14/00/06/33d876e0-1790-11e9-b97e-0a58647445c7-telemetry.json
cbdcadae-7d16-48f8-b977-03e65f4ed1fd,2019-01-13T23:19:36Z,squad,Savage_Main,False,1382,7,,8,0,4,846.29,suicide,1,3,3,0,0,3,7,0,0,41.89188,0,0,1,0,0,0,1,1163.167,0,3000.9668,3,7,0,0,account.3bc59b87bedf47b1ad3c62f8f437b7ee&account.8b876e07e3b7414687d531ab0841bf02&account.8e674164bb2f454ea6980cadb3704a60,https://telemetry-cdn.playbattlegrounds.com/bluehole-pubg/pc-kakao/2019/01/13/23/44/1ebd88bd-178d-11e9-bab1-0a58647546ba-telemetry.json
690b22ca-a16e-4811-b613-082b4abdcd02,2019-01-13T22:54:08Z,squad,Savage_Main,False,1410,1,,9,3,5,1486.19568,alive,7,1,1,0,0,3,13,0,0,124.65596,0,0,2,0,0,0,0,1410.013,0,3431.6604,3,1,0,0,account.3bc59b87bedf47b1ad3c62f8f437b7ee&account.8b876e07e3b7414687d531ab0841bf02&account.8e674164bb2f454ea6980cadb3704a60,https://telemetry-cdn.playbattlegrounds.com/bluehole-pubg/pc-kakao/2019/01/13/23/19/9e04b259-1789-11e9-b8e5-0a586475660d-telemetry.json
