matchId,createdAt,gameMode,mapName,isCustomMatch,duration,rank,won,DBNOs,assists,boosts,damageDealt,deathType,headshotKills,heals,killPlace,killPoints,killPointsDelta,killStreaks,kills,lastKillPoints,lastWinPoints,longestKill,mostDamage,rankPoints,revives,rideDistance,roadKills,swimDistance,teamKills,timeSurvived,vehicleDestroys,walkDistance,weaponsAcquired,winPlace,winPoints,winPointsDelta,teammates,telemetryDataURL
42dee9de-f080-46f4-8e7d-478d6a1378df,2019-01-12T14:47:30Z,squad,Savage_Main,False,1366,1,,9,0,5,1317.60876,alive,0,3,1,0,0,2,8,0,0,147.793839,0,0,0,162.321518,0,0,0,1366.859,0,2425.06787,7,1,0,0,account.4d5dfc450e684e1f8056bbdc08656b23&account.c628ec0e84974116a6d0666a2e9cd7c7&account.97e7e5fba9874915ad8672da4fd939e7&account.8e7a52cedd254a0c89885350f705adb6,https://telemetry-cdn.playbattlegrounds.com/bluehole-pubg/pc-kakao/2019/01/12/15/11/5f51e390-167c-11e9-b8e5-0a586475660d-telemetry.json
ea28dad0-a6c9-4b30-8c3b-a84d5125f45c,2019-01-12T14:29:05Z,squad,Savage_Main,False,1378,12,,4,3,0,532.5723,byplayer,0,0,4,0,0,1,4,0,0,88.7614441,0,0,1,0,0,0,0,961.363,0,1872.842,2,12,0,0,account.226aa10eb67b4f2892c9c02b6f78161b&account.fcf131a1bb92458584a710f9b048e48a&account.8e7a52cedd254a0c89885350f705adb6&account.d131f76849e54518a5078db135c7b94f,https://telemetry-cdn.playbattlegrounds.com/bluehole-pubg/pc-kakao/2019/01/12/14/53/d494c1cb-1679-11e9-bcc7-0a5864755713-telemetry.json
33a8a2e9-662c-4f27-ac52-b65d587e08ad,2019-01-12T14:22:39Z,squad,Savage_Main,False,1440,23,,1,0,0,170.95,byplayer,0,0,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,166.844,0,78.10508,2,23,0,0,account.d131f76849e54518a5078db135c7b94f&account.226aa10eb67b4f2892c9c02b6f78161b&account.fcf131a1bb92458584a710f9b048e48a&account.8e7a52cedd254a0c89885350f705adb6,https://telemetry-cdn.playbattlegrounds.com/bluehole-pubg/pc-kakao/2019/01/12/14/48/1345a0e1-1679-11e9-92bc-0a586475650d-telemetry.json
8f7b0d7f-1e6f-4401-9910-d52baf3a4614,2019-01-12T13:57:32Z,squad,Savage_Main,False,1387,2,,3,1,5,580.618164,byplayer,2,10,10,0,0,1,3,0,0,84.86688,0,0,0,0.00261712843,0,11.6822166,0,1373.941,0,5330.466,4,2,0,0,account.d131f76849e54518a5078db135c7b94f&account.226aa10eb67b4f2892c9c02b6f78161b&account.fcf131a1bb92458584a710f9b048e48a&account.8e7a52cedd254a0c89885350f705adb6,https://telemetry-cdn.playbattlegrounds.com/bluehole-pubg/pc-kakao/2019/01/12/14/22/757a6f6f-1675-11e9-bd82-0a5864756509-telemetry.json
2e47ba3e-d909-4bec-9a5e-da3b33fcc558,2019-01-12T13:32:34Z,squad,Savage_Main,False,1321,7,,2,0,1,218.59,byplayer,2,0,5,0,0,2,3,0,0,47.2643929,0,0,1,0,0,0,0,1169.712,0,3078.7644,2,7,0,0,account.bb6c04ad3ad04b6c812993cfb14e9e54&account.64db8c1f2e9a42a8968d7c3614018cb0&account.cd0b2c437f0a483fb713031344b6a2a3&account.8e7a52cedd254a0c89885350f705adb6,https://telemetry-cdn.playbattlegrounds.com/bluehole-pubg/pc-kakao/2019/01/12/13/56/ce5eef7d-1671-11e9-8a42-0a5864747b78-telemetry.json
1daad721-75d8-4c38-ad9f-9588d759ae86,2019-01-12T13:16:14Z,squad,Savage_Main,False,1508,12,,1,1,1,202.947327,byplayer,1,0,34,0,0,1,1,0,0,74.47502,0,0,0,0,0,0,0,855.428,0,1582.27625,2,12,0,0,account.bb6c04ad3ad04b6c812993cfb14e9e54&account.64db8c1f2e9a42a8968d7c3614018cb0&account.cd0b2c437f0a483fb713031344b6a2a3&account.8e7a52cedd254a0c89885350f705adb6,https://telemetry-cdn.playbattlegrounds.com/bluehole-pubg/pc-kakao/2019/01/12/13/42/f4b4c6f0-166f-11e9-b121-0a5864753183-telemetry.json
58103bf3-c85b-4678-acbe-55fed051811d,2019-01-12T12:59:08Z,squad,Savage_Main,False,1443,9,,1,1,1,334.3596,byplayer,1,0,14,0,0,1,2,0,0,122.601,0,0,0,0,0,0,0,676.299,0,1939.05347,3,9,0,0,account.64db8c1f2e9a42a8968d7c3614018cb0&account.bb6c04ad3ad04b6c812993cfb14e9e54&account.cd0b2c437f0a483fb713031344b6a2a3&account.8e7a52cedd254a0c89885350f705adb6,https://telemetry-cdn.playbattlegrounds.com/bluehole-pubg/pc-kakao/2019/01/12/13/24/697c9468-166d-11e9-b6a8-0a5864746ca1-telemetry.json
15b4693c-a0e8-43e4-8af2-a90c60764666,2019-01-12T12:50:25Z,squad,Savage_Main,False,1377,20,,1,1,3,171.08,byplayer,0,1,77,0,0,0,0,0,0,0,0,0,0,0,0,0,1,393.215,0,456.66452,3,20,0,0,account.64db8c1f2e9a42a8968d7c3614018cb0&account.bb6c04ad3ad04b6c812993cfb14e9e54&account.8e7a52cedd254a0c89885350f705adb6&account.cd0b2c437f0a483fb713031344b6a2a3,https://telemetry-cdn.playbattlegrounds.com/bluehole-pubg/pc-kakao/2019/01/12/13/14/0b3d47a0-166c-11e9-96ac-0a5864750351-telemetry.json
81e71762-203e-4b39-be77-2fd390020798,2019-01-12T12:40:47Z,squad,Savage_Main,False,1418,21,,0,2,1,78,byplayer,0,1,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,224.178,0,149.080261,1,21,0,0,account.64db8c1f2e9a42a8968d7c3614018cb0&account.bb6c04ad3ad04b6c812993cfb14e9e54&account.cd0b2c437f0a483fb713031344b6a2a3&account.8e7a52cedd254a0c89885350f705adb6,https://telemetry-cdn.playbattlegrounds.com/bluehole-pubg/pc-kakao/2019/01/12/13/05/cad7c415-166a-11e9-b121-0a5864753183-telemetry.json
f20b1654-5859-4db7-ab5d-fb5538e83af4,2019-01-12T12:34:32Z,squad,Savage_Main,False,1404,24,,0,0,0,108.144989,byplayer,0,1,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,271.181,0,329.658936,4,24,0,0,account.bb6c04ad3ad04b6c812993cfb14e9e54&account.64db8c1f2e9a42a8968d7c3614018cb0&account.8e7a52cedd254a0c89885350f705adb6&account.cd0b2c437f0a483fb713031344b6a2a3,https://telemetry-cdn.playbattlegrounds.com/bluehole-pubg/pc-kakao/2019/01/12/12/59/e36ecad1-1669-11e9-aacf-0a586475594a-telemetry.json
