matchId,createdAt,gameMode,mapName,isCustomMatch,duration,rank,won,DBNOs,assists,boosts,damageDealt,deathType,headshotKills,heals,killPlace,killPoints,killPointsDelta,killStreaks,kills,lastKillPoints,lastWinPoints,longestKill,mostDamage,rankPoints,revives,rideDistance,roadKills,swimDistance,teamKills,timeSurvived,vehicleDestroys,walkDistance,weaponsAcquired,winPlace,winPoints,winPointsDelta,teammates,telemetryDataURL
c0f2cc4b-704d-498a-b1e7-5e09676f70e0,2019-01-13T16:53:03Z,squad,Savage_Main,False,1371,1,,11,0,7,1281.40466,alive,6,1,1,0,0,4,13,0,0,86.01962,0,0,0,0,0,0,0,1371.172,0,2786.81836,2,1,0,0,account.adb310bf245c41a3bd20b590f2e51ebd&account.9b27e80f30b2473aa611d0189f076faf&account.a0239853d07a457ba14f16c0b19efa8b&account.bb731d2c20d8408c83fbdfac5badbbba,https://telemetry-cdn.playbattlegrounds.com/bluehole-pubg/pc-kakao/2019/01/13/17/17/177727b1-1757-11e9-954e-0a5864758b42-telemetry.json
b46dd92d-bfac-44f6-81c6-b4a11d4bd5b7,2019-01-13T16:34:53Z,squad,Savage_Main,False,1459,7,,6,0,5,854.6131,byplayer,6,3,2,0,0,3,9,0,0,147.2508,0,0,1,0,0,0,0,978.602,0,2020.77979,8,7,0,0,account.cbebd01c44164b7ebdd28f46e875e245&account.adb310bf245c41a3bd20b590f2e51ebd&account.86b54851cfb9455c9520b4a33c000160&account.3cde728a5f434e44bcae1f85a01e6d89,https://telemetry-cdn.playbattlegrounds.com/bluehole-pubg/pc-kakao/2019/01/13/17/00/c16ce556-1754-11e9-ad1d-0a586475802e-telemetry.json
b5f797a8-105a-4982-b18c-446cb8c4d925,2019-01-13T16:13:33Z,squad,Savage_Main,False,1359,9,,7,1,1,815.4518,byplayer,2,1,1,0,0,4,8,0,0,139.776321,0,0,0,0,0,0,0,1183.888,0,3223.05957,4,9,0,0,account.adb310bf245c41a3bd20b590f2e51ebd&account.a45c688e1ba24c369b1adc70c9ff772d&account.d09fcad3c64a4869913813add0942b3b&account.6b907c45d81c4b52b447c21810a0f8f6,https://telemetry-cdn.playbattlegrounds.com/bluehole-pubg/pc-kakao/2019/01/13/16/37/8b5b0df5-1751-11e9-9aeb-0a5864755f05-telemetry.json
5a4af044-82c2-4cb3-8f0e-0433d223e401,2019-01-13T16:07:26Z,squad,Desert_Main,False,1949,22,,1,0,0,112.532654,byplayer,0,1,40,0,0,1,1,0,0,8.858195,0,0,0,0,0,0,0,275.858,0,193.2364,2,26,0,0,account.95961e74e43848fa80103612978851c0&account.adb310bf245c41a3bd20b590f2e51ebd&account.0a8d0e7ebfbb4f31ab4bdedb76e94666&account.1c4ca951bb3d43ef9547560e8a62d88e,https://telemetry-cdn.playbattlegrounds.com/bluehole-pubg/pc-kakao/2019/01/13/16/40/019fa2b0-1752-11e9-a385-0a5864755fa3-telemetry.json
adfeeb5f-bcab-43e5-b833-78fa6902cb98,2019-01-13T16:01:15Z,squad,Erangel_Main,False,1877,26,,3,0,0,246.923157,byplayer,1,0,11,0,0,1,3,0,0,105.988411,0,0,0,0,0,0,0,241.712,0,336.326721,2,28,0,0,account.1c31c112a1c84109aa7bc6341fe0b961&account.7259066c8f95497aa33136b805787573&account.adb310bf245c41a3bd20b590f2e51ebd&account.9eb1235b34204189a943c058c55e33e9,https://telemetry-cdn.playbattlegrounds.com/bluehole-pubg/pc-kakao/2019/01/13/16/34/09f88f1d-1751-11e9-9101-0a5864746cf4-telemetry.json
f868f392-4f01-4e52-affc-38eed526c62f,2019-01-13T15:27:42Z,squad,Erangel_Main,False,1906,1,,6,1,12,889.4799,alive,3,3,1,0,0,2,9,0,0,90.49155,0,0,0,4799.458,0,109.19558,0,1906.731,0,3595.36841,11,1,0,0,account.1e993fae9f834acfbed425c5789b73e3&account.5fd8a3f49b484034955ac51ee44554f4&account.adb310bf245c41a3bd20b590f2e51ebd&account.4584b1fac6f6437c9d48bd9f976c0df8,https://telemetry-cdn.playbattlegrounds.com/bluehole-pubg/pc-kakao/2019/01/13/16/00/69a45132-174c-11e9-9c3a-0a5864750af5-telemetry.json
b3423cd3-26cc-4b39-b682-b6662bba0a19,2019-01-13T15:03:04Z,squad,Desert_Main,False,1937,11,,7,0,5,699.7662,byplayer,2,1,6,0,0,1,4,0,0,109.691093,0,0,0,2577.02881,0,0,0,1245.743,0,1946.93518,8,11,0,0,account.f23ecd1ebb8542fb860cecb7ac6c37c8&account.cab56aeddd7b41ad8b8c0d3f6fd5ffcd&account.adb310bf245c41a3bd20b590f2e51ebd&account.21b0b8d9a5a043d0b8d8b93445213e66,https://telemetry-cdn.playbattlegrounds.com/bluehole-pubg/pc-kakao/2019/01/13/15/36/0bdb26b5-1749-11e9-a24d-0a5864757336-telemetry.json
bf064903-24a1-475c-a6e1-4428d11dbe29,2019-01-13T14:43:38Z,squad,DihorOtok_Main,False,1910,10,,4,0,2,564.772461,byplayer,2,0,2,0,0,3,5,0,0,129.037964,0,0,2,156.458359,0,0,0,782.793,0,2289.21777,5,14,0,0,account.f23ecd1ebb8542fb860cecb7ac6c37c8&account.cab56aeddd7b41ad8b8c0d3f6fd5ffcd&account.adb310bf245c41a3bd20b590f2e51ebd&account.611dbbd8bbd04d74b182bae5ffc81f39,https://telemetry-cdn.playbattlegrounds.com/bluehole-pubg/pc-kakao/2019/01/13/15/16/43c1cd16-1746-11e9-a71b-0a586475732c-telemetry.json
6d94299e-b37a-4472-9d82-54606eccfe5a,2019-01-13T14:11:50Z,squad,DihorOtok_Main,False,1754,2,,13,0,15,1914.25635,byplayer,3,3,1,0,0,3,15,0,0,55.1049156,0,0,2,2294.34448,0,0,0,1746.35,0,3565.2854,8,2,0,0,account.f23ecd1ebb8542fb860cecb7ac6c37c8&account.cab56aeddd7b41ad8b8c0d3f6fd5ffcd&account.adb310bf245c41a3bd20b590f2e51ebd,https://telemetry-cdn.playbattlegrounds.com/bluehole-pubg/pc-kakao/2019/01/13/14/42/75e35aa8-1741-11e9-8e02-0a5864725d31-telemetry.json
5e354785-cf63-43dc-9574-9949c2f33364,2019-01-13T13:38:16Z,squad,DihorOtok_Main,False,1872,1,,10,1,10,1277.74841,alive,6,0,1,0,0,2,10,0,0,170.143463,0,0,0,0,0,0,0,1872.114,0,3736.296,9,1,0,0,account.cab56aeddd7b41ad8b8c0d3f6fd5ffcd&account.f23ecd1ebb8542fb860cecb7ac6c37c8&account.adb310bf245c41a3bd20b590f2e51ebd&account.0615c034aec545c09da578fe3f26112f,https://telemetry-cdn.playbattlegrounds.com/bluehole-pubg/pc-kakao/2019/01/13/14/10/0d88ef71-173d-11e9-97bd-0a5864758b0c-telemetry.json
