matchId,createdAt,gameMode,mapName,isCustomMatch,duration,rank,won,DBNOs,assists,boosts,damageDealt,deathType,headshotKills,heals,killPlace,killPoints,killPointsDelta,killStreaks,kills,lastKillPoints,lastWinPoints,longestKill,mostDamage,rankPoints,revives,rideDistance,roadKills,swimDistance,teamKills,timeSurvived,vehicleDestroys,walkDistance,weaponsAcquired,winPlace,winPoints,winPointsDelta,teammates,telemetryDataURL
c28a97d9-0178-483d-9136-701d48b987ed,2019-01-13T10:11:17Z,squad,Savage_Main,False,1463,17,,2,0,2,367.6064,byplayer,1,0,21,0,0,1,2,0,0,174.042221,0,0,0,0,0,1.74020863,0,680.321,0,1098.96558,1,17,0,0,account.b41ad7fb6e374f01a2b56c945d0fc36f&account.c4fe3ee69b424bafbe14a7e255f62d26&account.beb75177f0724353af09f864d8f9f9e5,https://telemetry-cdn.playbattlegrounds.com/bluehole-pubg/pc-kakao/2019/01/13/10/37/28dcc91b-171f-11e9-b4fc-0a5864756508-telemetry.json
bed87d76-1444-4c91-8861-36d7680dfe2c,2019-01-12T20:41:00Z,squad,Savage_Main,False,1401,12,,0,0,0,0,byplayer,0,0,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,737.28,0,0.463898927,0,12,0,0,account.c4fe3ee69b424bafbe14a7e255f62d26,https://telemetry-cdn.playbattlegrounds.com/bluehole-pubg/pc-kakao/2019/01/12/21/05/d6187c41-16ad-11e9-b121-0a5864753183-telemetry.json
bdc6e71a-d330-4fc6-964c-4ccc8ad6b402,2019-01-12T20:29:35Z,squad,Savage_Main,False,1455,13,,0,0,0,0,byplayer,0,0,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,579.34,0,0.6540588,0,13,0,0,account.c4fe3ee69b424bafbe14a7e255f62d26,https://telemetry-cdn.playbattlegrounds.com/bluehole-pubg/pc-kakao/2019/01/12/20/55/66b3997f-16ac-11e9-b121-0a5864753183-telemetry.json
0a560d4e-81b4-4f40-964b-bffcafdfc8b9,2019-01-12T19:50:50Z,squad,Savage_Main,False,1403,12,,1,0,2,99.20006,byplayer,0,0,64,0,0,0,0,0,0,0,0,0,0,1631.26526,0,0,0,701.416,0,1410.827,3,12,0,0,account.c4fe3ee69b424bafbe14a7e255f62d26&account.b41ad7fb6e374f01a2b56c945d0fc36f&account.beb75177f0724353af09f864d8f9f9e5,https://telemetry-cdn.playbattlegrounds.com/bluehole-pubg/pc-kakao/2019/01/12/20/15/db776567-16a6-11e9-b7a3-0a5864743739-telemetry.json
4536cef2-1d53-4816-8c93-bf535e0b2f72,2019-01-12T19:26:07Z,squad,Savage_Main,False,1416,3,,4,3,7,541.690369,byplayer,0,1,7,0,0,1,3,0,0,45.13144,0,0,0,2366.04639,0,13.0660648,0,1337.109,0,3640.324,3,3,0,0,account.b41ad7fb6e374f01a2b56c945d0fc36f&account.beb75177f0724353af09f864d8f9f9e5&account.c4fe3ee69b424bafbe14a7e255f62d26,https://telemetry-cdn.playbattlegrounds.com/bluehole-pubg/pc-kakao/2019/01/12/19/51/6ac4829e-16a3-11e9-b81e-0a586475469c-telemetry.json
bfbbe08a-a3f3-4756-8ef7-20f52077fdfa,2019-01-12T19:01:10Z,squad,Savage_Main,False,1387,1,,5,1,4,701.527344,alive,4,0,2,0,0,3,6,0,0,110.870605,0,0,0,3980.2373,0,0,0,1387.288,0,2396.726,4,1,0,0,account.b41ad7fb6e374f01a2b56c945d0fc36f&account.c4fe3ee69b424bafbe14a7e255f62d26&account.beb75177f0724353af09f864d8f9f9e5,https://telemetry-cdn.playbattlegrounds.com/bluehole-pubg/pc-kakao/2019/01/12/19/25/de2cb0e0-169f-11e9-b00c-0a586474758b-telemetry.json
ff4d0c7e-a105-4978-a419-1e63428f5c6a,2019-01-12T18:27:20Z,squad,Savage_Main,False,1370,1,,8,0,7,1486.03,alive,7,2,1,0,0,3,16,0,0,116.189636,0,0,0,0,0,0,0,1370.553,0,3137.765,4,1,0,0,account.b41ad7fb6e374f01a2b56c945d0fc36f&account.c4fe3ee69b424bafbe14a7e255f62d26&account.beb75177f0724353af09f864d8f9f9e5,https://telemetry-cdn.playbattlegrounds.com/bluehole-pubg/pc-kakao/2019/01/12/18/51/17a3f24e-169b-11e9-bf74-0a58647445c7-telemetry.json
766cc44a-ea57-4a70-b3a6-3c96d95147ca,2019-01-12T18:13:14Z,squad,Savage_Main,False,1350,16,,2,1,1,376.163727,byplayer,0,0,19,0,0,1,2,0,0,28.22395,0,0,0,782.7428,0,0,0,605.831,0,939.4486,3,16,0,0,account.b41ad7fb6e374f01a2b56c945d0fc36f&account.beb75177f0724353af09f864d8f9f9e5&account.c4fe3ee69b424bafbe14a7e255f62d26,https://telemetry-cdn.playbattlegrounds.com/bluehole-pubg/pc-kakao/2019/01/12/18/37/16896acc-1699-11e9-94d7-0a5864739fdc-telemetry.json
9fd160ec-95cf-4d27-8ed2-f8f39bd38802,2019-01-12T17:48:18Z,squad,Savage_Main,False,1377,3,,8,0,6,929.2221,byplayer,3,1,1,0,0,3,8,0,0,201.448456,0,0,0,410.725067,0,0,0,1343.498,0,3601.11426,7,3,0,0,account.c4fe3ee69b424bafbe14a7e255f62d26&account.beb75177f0724353af09f864d8f9f9e5&account.b41ad7fb6e374f01a2b56c945d0fc36f,https://telemetry-cdn.playbattlegrounds.com/bluehole-pubg/pc-kakao/2019/01/12/18/12/a74079dc-1695-11e9-bc6b-0a586475595e-telemetry.json
f7f9cfb3-7a30-4734-a333-4df053303502,2019-01-12T17:24:10Z,squad,Savage_Main,False,1396,5,,2,0,0,273.0774,byplayer,2,0,3,0,0,2,5,0,0,267.758118,0,0,0,0,0,0,0,803.406,0,2669.89746,5,5,0,0,account.b41ad7fb6e374f01a2b56c945d0fc36f&account.c4fe3ee69b424bafbe14a7e255f62d26&account.beb75177f0724353af09f864d8f9f9e5,https://telemetry-cdn.playbattlegrounds.com/bluehole-pubg/pc-kakao/2019/01/12/17/48/54237b48-1692-11e9-a5d7-0a5864754691-telemetry.json
