matchId,createdAt,gameMode,mapName,isCustomMatch,duration,rank,won,DBNOs,assists,boosts,damageDealt,deathType,headshotKills,heals,killPlace,killPoints,killPointsDelta,killStreaks,kills,lastKillPoints,lastWinPoints,longestKill,mostDamage,rankPoints,revives,rideDistance,roadKills,swimDistance,teamKills,timeSurvived,vehicleDestroys,walkDistance,weaponsAcquired,winPlace,winPoints,winPointsDelta,teammates,telemetryDataURL
24890975-a962-4bda-8390-0016ae30424a,2019-01-12T18:55:42Z,squad,Savage_Main,False,1519,9,,3,0,2,295.117126,byplayer,2,0,9,0,0,2,3,0,0,87.1822,0,0,1,1893.54346,0,0,0,791.374,0,1260.17236,7,9,0,0,account.eaa21d5b24034717b64becca5ae1886b&account.f1ac156814f54ecf9fc40df6ac52a8c9&account.40b220157ff4488fae21d9db0e8a57b4,https://telemetry-cdn.playbattlegrounds.com/bluehole-pubg/pc-kakao/2019/01/12/19/22/67789dbf-169f-11e9-b7a3-0a5864743739-telemetry.json
a6d15942-41b9-4ff0-b386-6c5125af1f93,2019-01-12T18:29:56Z,squad,Savage_Main,False,1392,1,,7,1,3,1258.10413,alive,0,0,1,0,0,3,10,0,0,113.346809,0,0,1,329.33667,0,0,0,1392.96,1,3675.25781,3,1,0,0,account.f1ac156814f54ecf9fc40df6ac52a8c9&account.40b220157ff4488fae21d9db0e8a57b4&account.eaa21d5b24034717b64becca5ae1886b,https://telemetry-cdn.playbattlegrounds.com/bluehole-pubg/pc-kakao/2019/01/12/18/54/82d57d08-169b-11e9-9de0-0a586475611e-telemetry.json
78a37fdc-632c-46a8-b5c0-3bccad95e491,2019-01-12T18:10:18Z,squad,Savage_Main,False,1368,10,,5,1,3,573.501953,byplayer,1,5,3,0,0,2,6,0,0,114.96875,0,0,0,0,0,0,0,857.563,0,2150.79663,4,10,0,0,account.eaa21d5b24034717b64becca5ae1886b&account.f1ac156814f54ecf9fc40df6ac52a8c9&account.40b220157ff4488fae21d9db0e8a57b4&account.3774a947c1184ef2abb8d357745ad00b,https://telemetry-cdn.playbattlegrounds.com/bluehole-pubg/pc-kakao/2019/01/12/18/34/b4d59b89-1698-11e9-ad39-0a5864739fe4-telemetry.json
8a434cbf-9971-41b8-afa6-53abb5244ff6,2019-01-12T17:48:44Z,squad,Savage_Main,False,1385,6,,2,0,2,491.417267,byplayer,1,2,26,0,0,1,1,0,0,72.66643,0,0,1,632.9338,0,0,0,934.911,0,1900.136,5,6,0,0,account.eaa21d5b24034717b64becca5ae1886b&account.f1ac156814f54ecf9fc40df6ac52a8c9&account.40b220157ff4488fae21d9db0e8a57b4&account.3774a947c1184ef2abb8d357745ad00b,https://telemetry-cdn.playbattlegrounds.com/bluehole-pubg/pc-kakao/2019/01/12/18/13/bf58ac57-1695-11e9-b7a3-0a5864743739-telemetry.json
d63e1bf2-38b2-4a84-8279-edce1cfceb50,2019-01-12T17:35:22Z,squad,Savage_Main,False,1404,13,,2,1,2,469.474274,byplayer,0,2,19,0,0,1,2,0,0,205.852386,0,0,0,0,0,0,0,634.538,0,1456.99622,4,13,0,0,account.eaa21d5b24034717b64becca5ae1886b&account.40b220157ff4488fae21d9db0e8a57b4&account.f1ac156814f54ecf9fc40df6ac52a8c9&account.3774a947c1184ef2abb8d357745ad00b,https://telemetry-cdn.playbattlegrounds.com/bluehole-pubg/pc-kakao/2019/01/12/18/00/edc6e951-1693-11e9-9f4e-0a5864753174-telemetry.json
d57231cd-4769-4d15-96d4-f484c692197d,2019-01-12T17:19:47Z,squad,Savage_Main,False,1417,14,,0,0,0,0,byplayer,0,0,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,595.068,0,316.092255,1,14,0,0,account.f1ac156814f54ecf9fc40df6ac52a8c9&account.40b220157ff4488fae21d9db0e8a57b4&account.3774a947c1184ef2abb8d357745ad00b&account.eaa21d5b24034717b64becca5ae1886b,https://telemetry-cdn.playbattlegrounds.com/bluehole-pubg/pc-kakao/2019/01/12/17/44/c413decd-1691-11e9-b121-0a5864753183-telemetry.json
d5e13614-e542-40d6-a7e2-4d3358ff7fbb,2019-01-12T16:54:31Z,squad,Savage_Main,False,1383,4,,4,1,1,618.16095,byplayer,1,1,16,0,0,1,2,0,0,132.788757,0,0,2,1720.99207,0,0,0,1319.47,0,2271.908,6,4,0,0,account.eaa21d5b24034717b64becca5ae1886b&account.f1ac156814f54ecf9fc40df6ac52a8c9&account.40b220157ff4488fae21d9db0e8a57b4&account.3774a947c1184ef2abb8d357745ad00b,https://telemetry-cdn.playbattlegrounds.com/bluehole-pubg/pc-kakao/2019/01/12/17/19/29284054-168e-11e9-9d8f-0a5864756408-telemetry.json
ca92831c-4b87-473b-b42e-12209e77f3c5,2019-01-12T16:42:29Z,squad,Savage_Main,False,1443,21,,4,0,3,611.4706,byplayer,1,1,4,0,0,1,5,0,0,99.7098846,0,0,0,0,0,0,0,534.167,0,936.0987,2,21,0,0,account.eaa21d5b24034717b64becca5ae1886b&account.f1ac156814f54ecf9fc40df6ac52a8c9&account.40b220157ff4488fae21d9db0e8a57b4&account.3774a947c1184ef2abb8d357745ad00b,https://telemetry-cdn.playbattlegrounds.com/bluehole-pubg/pc-kakao/2019/01/12/17/08/9fbf049a-168c-11e9-9ac1-0a586475467f-telemetry.json
a3cf8e9f-6324-45fd-8410-8fb32921e52d,2019-01-12T16:27:32Z,duo,Savage_Main,False,1376,19,,0,0,0,310.935,byplayer,1,1,37,0,0,1,1,0,0,60.7707825,0,0,0,280.1909,0,0,0,711.022,0,1557.23291,4,19,0,0,account.eaa21d5b24034717b64becca5ae1886b&account.f1ac156814f54ecf9fc40df6ac52a8c9,https://telemetry-cdn.playbattlegrounds.com/bluehole-pubg/pc-kakao/2019/01/12/16/51/5e58d788-168a-11e9-94d7-0a5864739fdc-telemetry.json
2273b654-ed1a-4b72-9461-2571d438ea7d,2019-01-12T16:00:36Z,duo,Savage_Main,False,1472,1,,3,4,7,1388.18384,alive,3,3,1,0,0,2,11,0,0,163.842621,0,0,0,0,0,0,0,1472.828,0,3423.77051,5,1,0,0,account.eaa21d5b24034717b64becca5ae1886b&account.f1ac156814f54ecf9fc40df6ac52a8c9,https://telemetry-cdn.playbattlegrounds.com/bluehole-pubg/pc-kakao/2019/01/12/16/26/d5229349-1686-11e9-bf74-0a58647445c7-telemetry.json
