matchId,createdAt,gameMode,mapName,isCustomMatch,duration,rank,won,DBNOs,assists,boosts,damageDealt,deathType,headshotKills,heals,killPlace,killPoints,killPointsDelta,killStreaks,kills,lastKillPoints,lastWinPoints,longestKill,mostDamage,rankPoints,revives,rideDistance,roadKills,swimDistance,teamKills,timeSurvived,vehicleDestroys,walkDistance,weaponsAcquired,winPlace,winPoints,winPointsDelta,teammates,telemetryDataURL
2e2ac56d-3ac9-47f8-9db1-c967291dcf38,2019-01-13T09:56:41Z,squad,Erangel_Main,False,1882,7,,1,0,0,81.74249,suicide,0,1,33,0,0,1,1,0,0,15.5513172,0,0,1,6054.40869,0,0,1,1436.501,0,2572.57886,2,15,0,0,account.0202adffcbdf4b3ca950cb8950f7fb6b&account.78b1d06a70ba4c1bbef6551a4e10aaf6&account.8fdbdb3a8b1044708af9af6ad1188a0f&account.ee0d69fdfb0f464fb2990aec1638c707,https://telemetry-cdn.playbattlegrounds.com/bluehole-pubg/pc-kakao/2019/01/13/10/29/214824d8-171e-11e9-804a-0a586475750b-telemetry.json
efe447b2-8795-4d51-968e-b8600402276d,2019-01-13T09:24:12Z,squad,Desert_Main,False,1881,2,,0,0,0,49,byplayer,0,10,41,0,0,0,0,0,0,0,0,0,0,3358.83032,0,0,0,1768.237,0,3132.82349,5,2,0,0,account.ee0d69fdfb0f464fb2990aec1638c707&account.1449cb4e87824536b75e44c2102798b1&account.f5586186b3234ffcb267fb6af7124105&account.0bedae9e50b34493907a9644a2c330a9,https://telemetry-cdn.playbattlegrounds.com/bluehole-pubg/pc-kakao/2019/01/13/09/57/91edcec3-1719-11e9-b6f4-0a5864746cd7-telemetry.json
ca8a5cae-1621-44d8-8c81-0465215d662d,2019-01-13T09:14:04Z,squad,Savage_Main,False,1374,19,,1,2,1,197.526031,byplayer,0,5,36,0,0,1,1,0,0,11.3189392,0,0,0,1056.93,0,0,0,481.071,0,487.057373,5,19,0,0,account.074cd308e50742e5adbabb1dd2a65912&account.aa5c52a4ce974553bd781446e56326fd&account.9b55353e36eb4e5e892c1cbf7a6e9f43&account.ee0d69fdfb0f464fb2990aec1638c707,https://telemetry-cdn.playbattlegrounds.com/bluehole-pubg/pc-kakao/2019/01/13/09/38/fa931ec1-1716-11e9-8bbb-0a5864756536-telemetry.json
b9b4fa6b-46c2-4a57-ab52-d7177b0a0890,2019-01-13T09:09:53Z,squad,Erangel_Main,False,1956,22,,0,0,0,45.05571,byplayer,0,0,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,148.176,0,129.87262,1,27,0,0,account.ee0d69fdfb0f464fb2990aec1638c707&account.7f13c3a048d64181bb34218c3c932e61&account.1e2440f91d3c4f0db977d9e869e18e89&account.6162d3169af74d0987fa8ca4573e2dd7,https://telemetry-cdn.playbattlegrounds.com/bluehole-pubg/pc-kakao/2019/01/13/09/44/c5604fd3-1717-11e9-a0c8-0a5864747508-telemetry.json
8e022d48-970b-4390-aa34-2e8a1b319061,2019-01-13T09:04:40Z,solo,Savage_Main,False,1353,68,,0,0,0,0,byplayer,0,0,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,212.436,0,186.800354,1,68,0,0,account.ee0d69fdfb0f464fb2990aec1638c707,https://telemetry-cdn.playbattlegrounds.com/bluehole-pubg/pc-kakao/2019/01/13/09/28/9ffe75d4-1715-11e9-804a-0a586475750b-telemetry.json
cdc08ecd-2244-43c4-99b7-94e918be23fd,2019-01-13T08:58:47Z,solo,DihorOtok_Main,False,1940,71,,0,0,0,24.170784,byplayer,0,0,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255.373,0,131.40625,3,71,0,0,account.ee0d69fdfb0f464fb2990aec1638c707,https://telemetry-cdn.playbattlegrounds.com/bluehole-pubg/pc-kakao/2019/01/13/09/32/286f6877-1716-11e9-ba64-0a5864757811-telemetry.json
caa39ca8-5e3c-4037-b8e1-b00c164bbae6,2019-01-13T08:38:46Z,squad,Savage_Main,False,1391,5,,3,1,0,598.389954,byplayer,0,1,16,0,0,1,2,0,0,7.0557704,0,0,0,0,0,0,0,454.15,0,436.8449,3,7,0,0,account.e6becb939642406abe209af64ee13613&account.8b3f045edc464285aeb28985a1252ca7&account.ee0d69fdfb0f464fb2990aec1638c707&account.163e8ba47d314554a14c3c4dac2efd70,https://telemetry-cdn.playbattlegrounds.com/bluehole-pubg/pc-kakao/2019/01/13/09/03/16523d7d-1712-11e9-bb33-0a586475730d-telemetry.json
e913275b-6013-4f70-8129-8e7b26217dbd,2019-01-13T08:23:38Z,duo,DihorOtok_Main,False,1951,24,,4,0,0,685.962158,byplayer,0,2,4,0,0,2,4,0,0,130.46106,0,0,0,0,0,0,0,681.526,0,2107.27832,3,24,0,0,account.163e8ba47d314554a14c3c4dac2efd70&account.ee0d69fdfb0f464fb2990aec1638c707,https://telemetry-cdn.playbattlegrounds.com/bluehole-pubg/pc-kakao/2019/01/13/08/57/4688bf82-1711-11e9-9aeb-0a5864755f05-telemetry.json
086d7be4-a3de-4434-a098-ec431774d198,2019-01-13T07:57:16Z,duo,Savage_Main,False,1381,1,,5,0,3,1040.84644,alive,4,0,1,0,0,2,13,0,0,266.192352,0,0,0,411.1857,1,0,0,1381.223,0,3875.03613,8,1,0,0,account.163e8ba47d314554a14c3c4dac2efd70&account.ee0d69fdfb0f464fb2990aec1638c707,https://telemetry-cdn.playbattlegrounds.com/bluehole-pubg/pc-kakao/2019/01/13/08/21/428df314-170c-11e9-861e-0a586475750e-telemetry.json
906d10f0-7bef-4242-83fe-5d5fe58a2937,2019-01-13T07:55:23Z,duo,Desert_Main,False,1876,49,,0,0,0,0,byplayer,0,0,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,143.268,0,0,0,49,0,0,account.163e8ba47d314554a14c3c4dac2efd70&account.ee0d69fdfb0f464fb2990aec1638c707,https://telemetry-cdn.playbattlegrounds.com/bluehole-pubg/pc-kakao/2019/01/13/08/28/27219bc8-170d-11e9-8e02-0a5864725d31-telemetry.json
