matchId,createdAt,gameMode,mapName,isCustomMatch,duration,rank,won,DBNOs,assists,boosts,damageDealt,deathType,headshotKills,heals,killPlace,killPoints,killPointsDelta,killStreaks,kills,lastKillPoints,lastWinPoints,longestKill,mostDamage,rankPoints,revives,rideDistance,roadKills,swimDistance,teamKills,timeSurvived,vehicleDestroys,walkDistance,weaponsAcquired,winPlace,winPoints,winPointsDelta,teammates,telemetryDataURL
ad3fcddf-16f9-4d53-a023-caae0d2fc6db,2018-12-31T10:02:52Z,squad,Savage_Main,False,1375,4,,0,0,0,0,byplayer,0,0,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,703.501,0,2308.27,5,16,0,0,ovocs1&crazy_seop&Hoon6974&Codename_PSY,https://telemetry-cdn.playbattlegrounds.com/bluehole-pubg/pc-kakao/2018/12/31/10/27/a933016e-0ce6-11e9-bfb1-0a5864739f89-telemetry.json
bd8ef0a7-41be-4dbc-9779-dc2ed140ef2e,2018-12-31T09:59:21Z,squad,Savage_Main,False,1384,13,,0,0,0,0,byplayer,0,0,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108.381,0,18.5818615,0,28,0,0,fuckurial&furamA5&BSSK_1002&Codename_PSY,https://telemetry-cdn.playbattlegrounds.com/bluehole-pubg/pc-kakao/2018/12/31/10/23/2b752ccf-0ce6-11e9-8d39-0a586473d09e-telemetry.json
93ebc5d6-3b67-42c2-b914-216daa429d56,2018-12-31T09:54:56Z,squad,Savage_Main,False,1507,19,,1,0,0,128.395,byplayer,0,0,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,147.015,0,69.37784,1,29,0,0,Codename_PSY&krd5587&jenkinsn&happyroady,https://telemetry-cdn.playbattlegrounds.com/bluehole-pubg/pc-kakao/2018/12/31/10/21/d7af0ec8-0ce5-11e9-9fd9-0a586473e529-telemetry.json
8f559010-1f59-4752-b1c7-c22c49e5da10,2018-12-31T09:26:44Z,squad,Savage_Main,False,1503,4,,1,0,1,320.364,byplayer,1,3,14,0,0,1,2,0,0,33.44244,0,0,0,0,0,0,0,1139.87,0,2926.37134,4,4,0,0,yeonsoo707&imsun707&timogang&Codename_PSY,https://telemetry-cdn.playbattlegrounds.com/bluehole-pubg/pc-kakao/2018/12/31/09/53/e5cd83f6-0ce1-11e9-9fd9-0a586473e529-telemetry.json
9f2f0a0b-b46d-4b23-9ddf-519f4032bd2c,2018-12-31T09:17:08Z,squad,Savage_Main,False,1458,19,,3,0,1,433.746155,byplayer,0,0,7,0,0,2,4,0,0,72.52398,0,0,1,0,0,0,0,417.139,0,267.6997,2,25,0,0,pop1004&Codename_PSY&orggo&jeon8835,https://telemetry-cdn.playbattlegrounds.com/bluehole-pubg/pc-kakao/2018/12/31/09/42/73f2473d-0ce0-11e9-9092-0a5864733119-telemetry.json
ca57c842-cf5c-43ed-a6b4-38b0483eb98a,2018-12-31T09:00:44Z,squad,Savage_Main,False,1383,5,,0,0,1,0,byplayer,0,0,53,0,0,0,0,0,0,0,0,0,1,0,0,0,0,879.882,0,2188.282,5,12,0,0,corbalstm&ReoalPark_ss&choikangzazi&Codename_PSY,https://telemetry-cdn.playbattlegrounds.com/bluehole-pubg/pc-kakao/2018/12/31/09/25/fb1f8501-0cdd-11e9-824e-0a58647377b2-telemetry.json
0b3e0978-f323-472b-bdf5-565333b91a30,2018-12-31T08:47:19Z,squad,Savage_Main,False,1412,3,,3,1,1,388.298645,byplayer,2,2,7,0,0,2,4,0,0,21.4778633,0,0,0,0,0,0,0,645.872,0,456.24762,2,13,0,0,dawngus&chickentime2&Junun-TV&Codename_PSY,https://telemetry-cdn.playbattlegrounds.com/bluehole-pubg/pc-kakao/2018/12/31/09/12/2d9d7a58-0cdc-11e9-bc16-0a5864725dd7-telemetry.json
e6fec736-56d1-464f-b8ef-b9fc07edead5,2018-12-31T08:29:48Z,squad,Savage_Main,False,1529,9,,2,1,1,97.41359,byplayer,0,1,14,0,0,1,2,0,0,63.5419,0,0,0,0,0,0,0,955.926,0,2570.92822,5,9,0,0,ddong_cy&rightvm&MARVEL4152&Codename_PSY,https://telemetry-cdn.playbattlegrounds.com/bluehole-pubg/pc-kakao/2018/12/31/08/56/ffeab2e9-0cd9-11e9-8456-0a586473ff0c-telemetry.json
f7393bf8-96e3-4283-b4da-5537a385e133,2018-12-31T08:14:58Z,squad,Savage_Main,False,1406,6,,0,0,0,58.8,byplayer,0,0,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,262.405,0,416.2246,3,17,0,0,10999&Deskar1018&wjddmstj1115&Codename_PSY,https://telemetry-cdn.playbattlegrounds.com/bluehole-pubg/pc-kakao/2018/12/31/08/39/a71e8d12-0cd7-11e9-99a0-0a5864740214-telemetry.json
b7b6a1cb-28c2-4617-973a-cb324d327c76,2018-12-31T08:08:14Z,squad,Savage_Main,False,1381,23,,1,0,0,100,byplayer,0,0,38,0,0,1,1,0,0,8.085465,0,0,1,0,0,0,0,284.512,0,354.972229,1,23,0,0,whats_your_name2&GHAPFY&Codename_PSY&ltsoung1,https://telemetry-cdn.playbattlegrounds.com/bluehole-pubg/pc-kakao/2018/12/31/08/32/a4f9a5da-0cd6-11e9-89b6-0a58647331e5-telemetry.json
