matchId,createdAt,gameMode,mapName,isCustomMatch,duration,rank,won,DBNOs,assists,boosts,damageDealt,deathType,headshotKills,heals,killPlace,killPoints,killPointsDelta,killStreaks,kills,lastKillPoints,lastWinPoints,longestKill,mostDamage,rankPoints,revives,rideDistance,roadKills,swimDistance,teamKills,timeSurvived,vehicleDestroys,walkDistance,weaponsAcquired,winPlace,winPoints,winPointsDelta,teammates,telemetryDataURL
c2e2a22e-0fca-424c-a91b-9378c684c043,2019-01-01T05:43:06Z,squad,Savage_Main,False,1390,1,,4,1,7,600.468445,alive,1,3,1,0,0,2,5,0,0,98.3207,0,0,0,1118.10364,0,0,0,1390.876,0,3285.81616,2,1,0,0,Ohhhhhhaa&eazy00&Mini14_pro&Lupin_woorak,https://telemetry-cdn.playbattlegrounds.com/bluehole-pubg/pc-kakao/2019/01/01/06/07/8c8abaea-0d8b-11e9-8ad2-0a586473d0d8-telemetry.json
e646f6d4-9d2a-46ac-87a2-f5c40b12aa04,2019-01-01T05:35:08Z,squad,Savage_Main,False,1212,21,,1,0,0,172.03,byplayer,0,0,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,263.674,0,555.3702,2,21,0,0,eazy00&Ohhhhhhaa&Lupin_woorak&Mini14_pro,https://telemetry-cdn.playbattlegrounds.com/bluehole-pubg/pc-kakao/2019/01/01/05/56/084235f8-0d8a-11e9-9e6d-0a586473d0d7-telemetry.json
1a5bcdcb-b88a-4d35-b3c0-a46a7e20d685,2019-01-01T05:24:58Z,squad,Savage_Main,False,1364,29,,0,0,0,0,byplayer,0,0,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85.555,0,11.9474716,0,29,0,0,Sonia-Evol&Lupin_woorak&JOE_77&Youngarli_,https://telemetry-cdn.playbattlegrounds.com/bluehole-pubg/pc-kakao/2019/01/01/05/49/f7b1c76f-0d88-11e9-9ef8-0a586472aabc-telemetry.json
3bc18cab-ef27-4c1a-ba97-0105fd8fce46,2018-12-31T20:47:37Z,squad,Savage_Main,False,1365,1,,5,0,9,421.015778,alive,5,1,1,0,0,2,5,0,0,79.27073,0,0,0,892.346,0,0,0,1365.634,1,3311.32935,6,1,0,0,HJyo-&noonethe&MANBOK97&Lupin_woorak,https://telemetry-cdn.playbattlegrounds.com/bluehole-pubg/pc-kakao/2018/12/31/21/11/b19329c5-0d40-11e9-9e6d-0a586473d0d7-telemetry.json
e282527d-6ef7-437c-bd73-62a6ea14f944,2018-12-31T20:14:29Z,squad,Erangel_Main,False,1883,2,,4,3,8,801.3898,byplayer,2,9,4,0,0,1,5,0,0,88.9698,0,0,0,5456.19727,0,0,0,1875.001,0,2533.621,8,2,0,0,HJyo-&MANBOK97&noonethe&Lupin_woorak,https://telemetry-cdn.playbattlegrounds.com/bluehole-pubg/pc-kakao/2018/12/31/20/47/4496e1f1-0d3d-11e9-a353-0a586473ff05-telemetry.json
f17d0050-66f9-47c8-b90a-4f066150bae0,2018-12-31T20:04:17Z,squad,DihorOtok_Main,False,1843,18,,1,0,0,80.65001,byplayer,0,1,29,0,0,1,1,0,0,4.942935,0,0,0,0,0,0,0,347.14,0,484.723236,4,18,0,0,HJyo-&noonethe&MANBOK97&Lupin_woorak,https://telemetry-cdn.playbattlegrounds.com/bluehole-pubg/pc-kakao/2018/12/31/20/36/c040db1e-0d3b-11e9-969d-0a586473e344-telemetry.json
48330926-5dfd-49e0-8d15-bbe84c9a8611,2018-12-31T19:48:49Z,squad,Desert_Main,False,1848,21,,2,0,3,257.1125,byplayer,1,5,18,0,0,1,2,0,0,77.52971,0,0,0,0,0,0,0,782.4,0,1539.93921,3,21,0,0,HJyo-&MANBOK97&noonethe&Lupin_woorak,https://telemetry-cdn.playbattlegrounds.com/bluehole-pubg/pc-kakao/2018/12/31/20/21/a192944c-0d39-11e9-ba56-0a586474023f-telemetry.json
ca92fd2e-55a1-495f-994a-1f98a9f15f8e,2018-12-31T19:22:14Z,squad,Desert_Main,False,1855,11,,0,0,0,100,byplayer,0,0,32,0,0,1,1,0,0,0,0,0,0,0,0,0,0,878.598,0,1650.75513,3,11,0,0,HJyo-&MANBOK97&Lupin_woorak&noonethe,https://telemetry-cdn.playbattlegrounds.com/bluehole-pubg/pc-kakao/2018/12/31/19/54/ea4f48ad-0d35-11e9-b9a5-0a586472fa41-telemetry.json
a4aacf39-fefc-41dd-b8e9-30c7fcbcb0bf,2018-12-31T18:57:20Z,squad,DihorOtok_Main,False,1855,8,,5,1,4,379.723755,byplayer,1,3,3,0,0,3,5,0,0,127.799324,0,0,0,424.361725,0,0,0,989.35,0,2754.38623,6,8,0,0,MANBOK97&HJyo-&noonethe&Lupin_woorak,https://telemetry-cdn.playbattlegrounds.com/bluehole-pubg/pc-kakao/2018/12/31/19/29/6d13fe92-0d32-11e9-a0c4-0a586473be89-telemetry.json
1618c203-af09-4ec7-b3fa-f83e210e4770,2018-12-31T18:24:22Z,squad,Erangel_Main,False,1897,3,,7,0,13,714.0133,byplayer,2,7,3,0,0,1,5,0,0,107.491394,0,0,0,6033.70166,0,0,0,1879.777,0,2386.253,8,3,0,0,MANBOK97&noonethe&Lupin_woorak&HJyo-,https://telemetry-cdn.playbattlegrounds.com/bluehole-pubg/pc-kakao/2018/12/31/18/57/ebf04647-0d2d-11e9-a353-0a586473ff05-telemetry.json
