matchId,createdAt,gameMode,mapName,isCustomMatch,duration,rank,won,DBNOs,assists,boosts,damageDealt,deathType,headshotKills,heals,killPlace,killPoints,killPointsDelta,killStreaks,kills,lastKillPoints,lastWinPoints,longestKill,mostDamage,rankPoints,revives,rideDistance,roadKills,swimDistance,teamKills,timeSurvived,vehicleDestroys,walkDistance,weaponsAcquired,winPlace,winPoints,winPointsDelta,teammates,telemetryDataURL
a73f7b21-4391-4364-9ad3-592a1732aae1,2018-12-31T17:17:44Z,duo,Savage_Main,False,1434,22,,5,0,4,1018.41125,byplayer,1,2,3,0,0,2,5,0,0,104.610596,0,0,2,993.35376,0,0,0,798.454,0,1897.6051,2,22,0,0,qweq12342&Q1W2E3R4QQ,https://telemetry-cdn.playbattlegrounds.com/bluehole-pubg/pc-kakao/2018/12/31/17/43/87ea0fd6-0d23-11e9-824e-0a58647377b2-telemetry.json
35abc9bc-36b5-4581-b8c4-05fff32dfff6,2018-12-31T16:56:21Z,duo,Savage_Main,False,1387,7,,4,1,4,617.0697,byplayer,3,1,4,0,0,2,4,0,0,197.16449,0,0,1,112.2939,0,0,0,948.141,0,2070.17,2,7,0,0,qweq12342&Q1W2E3R4QQ,https://telemetry-cdn.playbattlegrounds.com/bluehole-pubg/pc-kakao/2018/12/31/17/20/6fa65847-0d20-11e9-b9a5-0a586472fa41-telemetry.json
9d71860e-c720-448b-8711-8abab9f07cd5,2018-12-31T16:51:06Z,duo,Savage_Main,False,1520,36,,2,0,0,381.28,byplayer,3,0,5,0,0,2,4,0,0,13.7226553,0,0,0,0,0,0,0,887.567,0,240.091431,2,36,0,0,Q1W2E3R4QQ&qweq12342,https://telemetry-cdn.playbattlegrounds.com/bluehole-pubg/pc-kakao/2018/12/31/17/17/04765fb1-0d20-11e9-8abc-0a586473bf8e-telemetry.json
de173a0b-bd94-4990-800c-52ab8b7b39e1,2018-12-31T16:46:57Z,duo,Savage_Main,False,1387,40,,1,0,0,200,byplayer,1,0,22,0,0,2,2,0,0,15.5322056,0,0,0,0,0,0,0,773.007,0,58.1348534,2,40,0,0,Q1W2E3R4QQ&qweq12342,https://telemetry-cdn.playbattlegrounds.com/bluehole-pubg/pc-kakao/2018/12/31/17/11/200f2765-0d1f-11e9-8a2c-0a586472aaaa-telemetry.json
c224c8e7-161c-4e5e-b690-d3b247f967b6,2018-12-31T16:22:32Z,duo,Savage_Main,False,1365,1,,7,1,6,1388.5957,alive,5,3,1,0,0,2,9,0,0,125.7333,0,0,2,660.2056,0,0,0,1365.652,0,2351.35913,5,1,0,0,qweq12342&Q1W2E3R4QQ,https://telemetry-cdn.playbattlegrounds.com/bluehole-pubg/pc-kakao/2018/12/31/16/46/a8fa6593-0d1b-11e9-8bbc-0a5864740016-telemetry.json
c758d97d-dd50-41b4-aebf-34777143b6cd,2018-12-31T15:59:03Z,duo,Savage_Main,False,1386,5,,3,1,5,341.409973,byplayer,2,0,2,0,0,2,5,0,0,66.80925,0,0,0,0,0,0,0,1190.202,0,2446.59521,6,5,0,0,qweq12342&Q1W2E3R4QQ,https://telemetry-cdn.playbattlegrounds.com/bluehole-pubg/pc-kakao/2018/12/31/16/23/6c95487d-0d18-11e9-8a31-0a586473d0b5-telemetry.json
71125c49-c79a-4a6b-87ce-6d0a7138e501,2018-12-31T15:52:04Z,duo,Savage_Main,False,1516,33,,0,0,0,0,byplayer,0,0,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86.513,0,11.73493,1,33,0,0,qweq12342&Q1W2E3R4QQ,https://telemetry-cdn.playbattlegrounds.com/bluehole-pubg/pc-kakao/2018/12/31/16/18/bfe994cc-0d17-11e9-824e-0a58647377b2-telemetry.json
5027c9e1-b47b-4d65-8d7b-8cd9b7f0a907,2018-12-31T15:45:04Z,duo,Savage_Main,False,1395,31,,0,0,0,79.335,byplayer,0,0,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,287.426,0,292.307465,1,31,0,0,qweq12342&Q1W2E3R4QQ,https://telemetry-cdn.playbattlegrounds.com/bluehole-pubg/pc-kakao/2018/12/31/16/09/810e993f-0d16-11e9-8bbc-0a5864740016-telemetry.json
2cb90bb5-f751-478e-9985-8b6eb0517c47,2018-12-31T15:35:53Z,duo,Savage_Main,False,1367,27,,0,0,0,100,byplayer,1,0,35,0,0,1,1,0,0,89.5249939,0,0,0,0,0,0,0,226.12,0,379.8675,2,27,0,0,Q1W2E3R4QQ&qweq12342,https://telemetry-cdn.playbattlegrounds.com/bluehole-pubg/pc-kakao/2018/12/31/16/00/23c5780f-0d15-11e9-abb3-0a586474090b-telemetry.json
61687484-cb4f-4655-adad-b37c4a12ee22,2018-12-31T15:11:52Z,duo,Savage_Main,False,1470,12,,3,1,6,298.718842,byplayer,3,7,6,0,0,2,4,0,0,68.7186,0,0,0,926.1604,0,0,0,1055.232,0,1744.60535,6,12,0,0,qweq12342&Q1W2E3R4QQ,https://telemetry-cdn.playbattlegrounds.com/bluehole-pubg/pc-kakao/2018/12/31/15/37/06bcc837-0d12-11e9-8ecf-0a586474090a-telemetry.json
38997330-a4cd-497a-85ac-cfb2495629a7,2018-12-31T15:04:24Z,duo,Savage_Main,False,1352,30,,0,0,2,19.1212959,byplayer,0,1,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,331.319,0,838.6847,4,30,0,0,qweq12342&Q1W2E3R4QQ,https://telemetry-cdn.playbattlegrounds.com/bluehole-pubg/pc-kakao/2018/12/31/15/28/b62392e4-0d10-11e9-aae2-0a58647377c0-telemetry.json
5f5f469c-25ca-46ed-ba88-b640d74ab885,2018-12-31T14:40:53Z,duo,Savage_Main,False,1506,4,,4,1,7,756.3228,byplayer,4,2,2,0,0,2,7,0,0,84.7508,0,0,2,0,0,0,0,1309.045,0,3155.01147,2,4,0,0,qweq12342&Q1W2E3R4QQ,https://telemetry-cdn.playbattlegrounds.com/bluehole-pubg/pc-kakao/2018/12/31/15/07/ca1baf33-0d0d-11e9-854c-0a586473d0be-telemetry.json
92c88c50-1a28-44da-8198-f35dc22fe840,2018-12-31T14:36:19Z,duo,Savage_Main,False,1384,41,,0,0,0,96.32,byplayer,0,0,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,166.507,0,165.984314,2,41,0,0,qweq12342&Q1W2E3R4QQ,https://telemetry-cdn.playbattlegrounds.com/bluehole-pubg/pc-kakao/2018/12/31/15/00/dd03c3df-0d0c-11e9-a685-0a5864740018-telemetry.json
c9ee02ef-b96e-493f-a65c-481dda421ca3,2018-12-31T14:32:15Z,duo,Savage_Main,False,1458,46,,1,0,0,45.39,byplayer,0,0,48,0,0,1,1,0,0,2.5807302,0,0,0,0,0,0,0,120.115,0,66.4923248,1,46,0,0,Q1W2E3R4QQ&qweq12342,https://telemetry-cdn.playbattlegrounds.com/bluehole-pubg/pc-kakao/2018/12/31/14/58/787c0e91-0d0c-11e9-bfec-0a586473ff1d-telemetry.json
42721b1a-0764-401e-bb80-7c3beb68b535,2018-12-31T14:26:37Z,duo,Savage_Main,False,1369,33,,0,0,0,0,byplayer,0,0,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107.521,0,18.4254742,0,33,0,0,qweq12342&Q1W2E3R4QQ,https://telemetry-cdn.playbattlegrounds.com/bluehole-pubg/pc-kakao/2018/12/31/14/50/799700be-0d0b-11e9-8456-0a586473ff0c-telemetry.json
ff7deda8-f7e7-4473-bf91-f8bea7570e08,2018-12-31T14:01:30Z,duo,Savage_Main,False,1421,1,,6,2,7,1223.99133,alive,8,2,1,0,0,2,11,0,0,145.4485,0,0,0,190.8883,0,0,0,1421.389,0,3033.59521,2,1,0,0,qweq12342&Q1W2E3R4QQ,https://telemetry-cdn.playbattlegrounds.com/bluehole-pubg/pc-kakao/2018/12/31/14/26/197faab2-0d08-11e9-a0c0-0a586474090a-telemetry.json
