matchId,createdAt,gameMode,mapName,isCustomMatch,duration,rank,won,DBNOs,assists,boosts,damageDealt,deathType,headshotKills,heals,killPlace,killPoints,killPointsDelta,killStreaks,kills,lastKillPoints,lastWinPoints,longestKill,mostDamage,rankPoints,revives,rideDistance,roadKills,swimDistance,teamKills,timeSurvived,vehicleDestroys,walkDistance,weaponsAcquired,winPlace,winPoints,winPointsDelta,teammates,telemetryDataURL
0589acad-2433-4a20-a914-0bf36776b132,2018-12-31T15:12:25Z,squad,Savage_Main,False,1318,7,,3,0,2,281.23996,byplayer,0,0,11,0,0,1,3,0,0,40.52153,0,0,0,1756.89526,0,0,0,1113.007,0,1602.1311,3,11,0,0,CatsEye&hbs4007&jimmelier&llForcellman,https://telemetry-cdn.playbattlegrounds.com/bluehole-pubg/pc-kakao/2018/12/31/15/35/c19fadb4-0d11-11e9-b34d-0a586473d09e-telemetry.json
cd00dc5e-168b-4489-9190-829bd0e8b355,2018-12-31T15:05:22Z,squad,Savage_Main,False,1404,13,,1,0,1,99.99999,byplayer,0,0,39,0,0,1,1,0,0,62.3856735,0,0,0,187.570709,1,0,0,472.978,0,707.1877,1,22,0,0,hwanstick&OL-TAE-MELONA&jimmelier&llForcellman,https://telemetry-cdn.playbattlegrounds.com/bluehole-pubg/pc-kakao/2018/12/31/15/30/f9007f34-0d10-11e9-8fa0-0a586473e314-telemetry.json
775f5d87-d6f5-4115-9ce2-686aafd18161,2018-12-31T14:55:04Z,squad,Erangel_Main,False,1869,3,,19,1,4,2409.453,byplayer,13,1,1,0,0,4,18,0,0,687.252,0,0,0,8645.622,0,0,0,1687.44,1,2691.83447,4,3,0,0,DoHo_TV&Jaeone_TV&zocoona&jimmelier,https://telemetry-cdn.playbattlegrounds.com/bluehole-pubg/pc-kakao/2018/12/31/15/27/9e39ebc3-0d10-11e9-a0c0-0a586474090a-telemetry.json
2f4ee5e1-f7eb-40b0-a5b5-577561d04d97,2018-12-31T14:51:06Z,squad,Savage_Main,False,1369,12,,7,1,3,823.9891,byplayer,1,2,1,0,0,2,8,0,0,102.23233,0,0,0,528.16626,0,0,0,743.863,0,1753.38049,3,12,0,0,llForcellman&jimmelier,https://telemetry-cdn.playbattlegrounds.com/bluehole-pubg/pc-kakao/2018/12/31/15/15/e5216353-0d0e-11e9-9483-0a5864740917-telemetry.json
8cebebe2-19d9-4986-8b90-77e78b293f5e,2018-12-31T14:36:39Z,squad,Savage_Main,False,1377,13,,3,0,1,601.080139,byplayer,0,2,1,0,0,2,7,0,0,52.88593,0,0,0,0,0,0,0,739.59,0,1679.97021,4,13,0,0,jimmelier,https://telemetry-cdn.playbattlegrounds.com/bluehole-pubg/pc-kakao/2018/12/31/15/01/e5627030-0d0c-11e9-b34d-0a586473d09e-telemetry.json
01b92350-7033-4b9e-9123-9acad564ab7d,2018-12-31T14:21:54Z,squad,Erangel_Main,False,1790,2,,12,3,8,1932.82629,byplayer,8,6,1,0,0,3,11,0,0,283.325043,0,0,1,6460.59131,0,27.95498,0,1748.6,1,2286.13,6,2,0,0,DoHo_TV&Jaeone_TV&jimmelier&zocoona,https://telemetry-cdn.playbattlegrounds.com/bluehole-pubg/pc-kakao/2018/12/31/14/53/cd12100d-0d0b-11e9-8a2c-0a586472aaaa-telemetry.json
c840feea-5c79-4393-949a-f665cec8713e,2018-12-31T14:11:22Z,squad,Savage_Main,False,1384,1,,1,2,6,447.663025,alive,0,0,3,0,0,1,4,0,0,33.35044,0,0,0,0,0,0,0,1384.063,0,2649.475,5,1,0,0,gosore&HI_0965&jimmelier&MEVIUSkiller,https://telemetry-cdn.playbattlegrounds.com/bluehole-pubg/pc-kakao/2018/12/31/14/35/60d2120f-0d09-11e9-ac87-0a5864740b03-telemetry.json
2fb29ecc-5947-4786-bbc3-f51558b014f3,2018-12-31T13:47:25Z,squad,Savage_Main,False,1306,1,,1,1,4,288.506165,alive,0,0,12,0,0,1,2,0,0,122.109344,0,0,0,0,0,0,0,1306.205,0,2250.253,4,1,0,0,gosore&HI_0965&jimmelier&MEVIUSkiller,https://telemetry-cdn.playbattlegrounds.com/bluehole-pubg/pc-kakao/2018/12/31/14/10/d87c8385-0d05-11e9-bdc3-0a5864733131-telemetry.json
3706a213-271d-4230-912f-3c4125b4104d,2018-12-31T13:21:49Z,squad,Savage_Main,False,1436,1,,3,2,2,673.741333,alive,0,2,3,0,0,1,5,0,0,84.8235855,0,0,0,0,0,0,0,1436.679,0,3226.344,4,1,0,0,gosore&HI_0965&jimmelier&MEVIUSkiller,https://telemetry-cdn.playbattlegrounds.com/bluehole-pubg/pc-kakao/2018/12/31/13/47/94655a28-0d02-11e9-a101-0a586473ed88-telemetry.json
1823c013-8f9d-4492-898d-df8b0ddd1128,2018-12-31T12:57:21Z,squad,Savage_Main,False,1381,3,,5,0,4,421.319977,byplayer,2,9,5,0,0,2,4,0,0,43.43717,0,0,2,240.479645,0,0,0,1359.526,0,2984.37158,5,3,0,0,gosore&HI_0965&jimmelier&MEVIUSkiller,https://telemetry-cdn.playbattlegrounds.com/bluehole-pubg/pc-kakao/2018/12/31/13/21/08bb1ac7-0cff-11e9-b9a5-0a586472fa41-telemetry.json
