matchId,createdAt,gameMode,mapName,isCustomMatch,duration,rank,won,DBNOs,assists,boosts,damageDealt,deathType,headshotKills,heals,killPlace,killPoints,killPointsDelta,killStreaks,kills,lastKillPoints,lastWinPoints,longestKill,mostDamage,rankPoints,revives,rideDistance,roadKills,swimDistance,teamKills,timeSurvived,vehicleDestroys,walkDistance,weaponsAcquired,winPlace,winPoints,winPointsDelta,teammates,telemetryDataURL
56921f91-7edd-4d84-81f5-1e1cb5b6f93d,2019-01-01T03:39:09Z,squad,Savage_Main,False,1290,24,,0,0,0,0,byplayer,0,0,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75.441,0,6.18324661,1,27,0,0,CLSRCN02&zizipii77&blackjames1,https://telemetry-cdn.playbattlegrounds.com/bluehole-pubg/pc-kakao/2019/01/01/04/02/fd5db23e-0d79-11e9-b598-0a586472b27c-telemetry.json
0e876ecb-a001-4971-8e7e-e08a104f30b7,2019-01-01T03:28:17Z,squad,Savage_Main,False,1467,26,,0,0,0,0,byplayer,0,0,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,174.588,0,105.068008,0,26,0,0,Eternalsw02&chungPvP0209&CLSRCN02&zizipii77,https://telemetry-cdn.playbattlegrounds.com/bluehole-pubg/pc-kakao/2019/01/01/03/54/e78e3c0e-0d78-11e9-9ef8-0a586472aabc-telemetry.json
037999f7-ec82-4f16-be39-a578228381da,2019-01-01T02:56:18Z,squad,Savage_Main,False,1442,3,,4,0,7,577.649963,byplayer,1,4,1,0,0,2,6,0,0,49.390255,0,0,1,0,0,0,0,1386.641,0,2605.08667,9,3,0,0,CLSRCN02&zizipii77&rudfhr247&GRIT___,https://telemetry-cdn.playbattlegrounds.com/bluehole-pubg/pc-kakao/2019/01/01/03/21/5e1252b7-0d74-11e9-969d-0a586473e344-telemetry.json
b541a3e4-35cc-4a2f-8c27-a3afec7e4d5e,2019-01-01T02:51:20Z,squad,Savage_Main,False,1418,21,,2,0,0,136,byplayer,0,0,42,0,0,1,1,0,0,6.481362,0,0,0,0,0,0,0,212.688,0,94.53708,2,23,0,0,CLSRCN02&zizipii77&nimuhyeon&Fucking-Guys,https://telemetry-cdn.playbattlegrounds.com/bluehole-pubg/pc-kakao/2019/01/01/03/16/9fe26e17-0d73-11e9-8fa0-0a586473e314-telemetry.json
ba419a7a-84c5-4e75-bde5-f673c64b239d,2019-01-01T02:42:18Z,squad,Savage_Main,False,1418,18,,2,1,1,176.021439,byplayer,0,1,21,0,0,1,2,0,0,4.217876,0,0,0,0,0,0,0,419.01,0,479.191528,4,18,0,0,chw1229&wuk930312&CLSRCN02&zizipii77,https://telemetry-cdn.playbattlegrounds.com/bluehole-pubg/pc-kakao/2019/01/01/03/07/5dd2d7ea-0d72-11e9-b40d-0a586473e57f-telemetry.json
f0cf52e3-e5ba-4a23-b85f-118eb07fa3f3,2019-01-01T01:47:54Z,squad,Savage_Main,False,1244,5,,1,0,0,200.78006,byplayer,0,0,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,186.454,0,51.28233,2,22,0,0,CLSRCN02&zizipii77&Hello_pcc&AsranJara,https://telemetry-cdn.playbattlegrounds.com/bluehole-pubg/pc-kakao/2019/01/01/02/10/5d423e22-0d6a-11e9-9ef8-0a586472aabc-telemetry.json
ab1b3901-9a19-47c3-8f76-39ed14476575,2019-01-01T01:25:55Z,squad,Savage_Main,False,1438,7,,2,1,4,265.169983,byplayer,0,3,26,0,0,1,1,0,0,4.942082,0,0,0,0,0,0,0,1230.246,0,2517.76147,4,7,0,0,CLSRCN02&zizipii77&TigerMask38&msx69,https://telemetry-cdn.playbattlegrounds.com/bluehole-pubg/pc-kakao/2019/01/01/01/51/bb46fd90-0d67-11e9-bdc3-0a5864733131-telemetry.json
97568b29-3fd3-4ca7-80b8-9d6e83a482c3,2019-01-01T00:43:00Z,squad,Savage_Main,False,1445,2,,3,1,4,456.08,byplayer,4,3,2,0,0,2,6,0,0,41.12575,0,0,0,0,0,0,0,1385.369,0,1785.18713,5,2,0,0,smell1313&zizipii77&CLSRCN02&aissfinis,https://telemetry-cdn.playbattlegrounds.com/bluehole-pubg/pc-kakao/2019/01/01/01/08/c27e9405-0d61-11e9-9e6d-0a586473d0d7-telemetry.json
7e90ba1b-aabe-4c8c-afb3-0f9e88e85671,2019-01-01T00:22:30Z,squad,Savage_Main,False,1314,6,,1,0,2,286.841064,byplayer,1,1,4,0,0,2,4,0,0,90.37417,0,0,0,0,0,0,0,1137.079,0,3288.96338,7,6,0,0,acesala&zizipii77&CLSRCN02&Cup_per4321,https://telemetry-cdn.playbattlegrounds.com/bluehole-pubg/pc-kakao/2019/01/01/00/45/95f957bb-0d5e-11e9-9e6d-0a586473d0d7-telemetry.json
6daa9421-3adf-4803-9e69-6dd0f2f76d72,2018-12-31T23:53:52Z,squad,Savage_Main,False,1357,12,,3,0,2,380.62,byplayer,0,7,10,0,0,2,3,0,0,102.454811,0,0,0,0,0,0,0,552.343,0,770.839233,3,12,0,0,KOR_DP1-1&BANJII_&CLSRCN02&zizipii77,https://telemetry-cdn.playbattlegrounds.com/bluehole-pubg/pc-kakao/2019/01/01/00/17/af71170b-0d5a-11e9-969d-0a586473e344-telemetry.json
