matchId,createdAt,gameMode,mapName,isCustomMatch,duration,rank,won,DBNOs,assists,boosts,damageDealt,deathType,headshotKills,heals,killPlace,killPoints,killPointsDelta,killStreaks,kills,lastKillPoints,lastWinPoints,longestKill,mostDamage,rankPoints,revives,rideDistance,roadKills,swimDistance,teamKills,timeSurvived,vehicleDestroys,walkDistance,weaponsAcquired,winPlace,winPoints,winPointsDelta,teammates,telemetryDataURL
744e4cc2-c6cd-4251-858b-0a00708ad72a,2018-12-31T18:49:59Z,solo,DihorOtok_Main,False,1825,11,,0,2,4,827.428467,byplayer,2,4,2,0,0,1,5,0,0,21.2700462,0,0,0,1757.05469,0,0,0,1479.836,0,2533.48755,7,11,0,0,zzz_7404,https://telemetry-cdn.playbattlegrounds.com/bluehole-pubg/pc-kakao/2018/12/31/19/21/5315f836-0d31-11e9-bfb1-0a5864739f89-telemetry.json
50bb687b-b2a1-4e9c-937e-29e52d6c4f6d,2018-12-31T18:43:46Z,solo,Savage_Main,False,1512,75,,0,0,0,121.259995,byplayer,0,0,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,202.498,0,204.150726,2,75,0,0,zzz_7404,https://telemetry-cdn.playbattlegrounds.com/bluehole-pubg/pc-kakao/2018/12/31/19/10/bb4a853c-0d2f-11e9-969d-0a586473e344-telemetry.json
6a514a78-2417-4f70-8938-0d77f5c9c83e,2018-12-31T18:27:16Z,solo,DihorOtok_Main,False,1938,33,,0,0,0,0,byplayer,0,1,35,0,0,0,0,0,0,0,0,0,0,564.9623,0,0,0,854.808,0,1206.04309,7,33,0,0,zzz_7404,https://telemetry-cdn.playbattlegrounds.com/bluehole-pubg/pc-kakao/2018/12/31/19/01/6a04dda8-0d2e-11e9-97d4-0a586473ed2f-telemetry.json
adc29d4f-694e-4d94-b947-8613df0d2902,2018-12-31T17:54:08Z,solo,DihorOtok_Main,False,1845,20,,0,0,7,740.486938,byplayer,1,5,1,0,0,2,8,0,0,218.033432,0,0,0,1632.78845,0,0,0,1371.225,0,3097.29346,7,20,0,0,zzz_7404,https://telemetry-cdn.playbattlegrounds.com/bluehole-pubg/pc-kakao/2018/12/31/18/26/93515d77-0d29-11e9-b9a5-0a586472fa41-telemetry.json
860cfb53-000e-4980-a21c-1e36a0eeeaf7,2018-12-31T17:45:36Z,duo,DihorOtok_Main,False,1872,41,,0,0,1,53.235,byplayer,0,0,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,278.207,0,129.15889,7,41,0,0,zzz_7404&gpwjd0560,https://telemetry-cdn.playbattlegrounds.com/bluehole-pubg/pc-kakao/2018/12/31/18/18/72a36248-0d28-11e9-964a-0a586474022b-telemetry.json
64654516-e44f-4c0c-b5b7-9742f7284bc5,2018-12-31T17:21:14Z,duo,DihorOtok_Main,False,1963,17,,3,0,6,745.619446,byplayer,3,4,1,0,0,2,6,0,0,107.787033,0,0,0,1581.06641,0,0,0,1276.994,0,1485.05359,6,17,0,0,zzz_7404&gpwjd0560,https://telemetry-cdn.playbattlegrounds.com/bluehole-pubg/pc-kakao/2018/12/31/17/55/40c595ba-0d25-11e9-ac4a-0a5864739f20-telemetry.json
a8ebcc29-a5e0-4465-a45f-7bb9543977ce,2018-12-31T17:12:55Z,duo,Savage_Main,False,1387,33,,1,0,0,133.11,byplayer,0,0,36,0,0,1,1,0,0,61.41787,0,0,0,0,0,0,0,348.049,0,537.0354,3,33,0,0,zzz_7404&gpwjd0560,https://telemetry-cdn.playbattlegrounds.com/bluehole-pubg/pc-kakao/2018/12/31/17/37/c2cf770e-0d22-11e9-8be2-0a586473be89-telemetry.json
07d3bac1-7eb8-459b-99a2-d433f6b9129c,2018-12-31T16:52:04Z,duo,DihorOtok_Main,False,1877,11,,1,0,1,295.112518,byplayer,0,1,27,0,0,1,1,0,0,35.0983658,0,0,0,1363.32153,0,0,0,1128.604,0,1514.8844,11,11,0,0,zzz_7404&gpwjd0560,https://telemetry-cdn.playbattlegrounds.com/bluehole-pubg/pc-kakao/2018/12/31/17/24/f9e45412-0d20-11e9-8bbc-0a5864740016-telemetry.json
7b229056-2f5c-4699-93fc-8e777b776b21,2018-12-31T16:44:38Z,duo,DihorOtok_Main,False,1879,41,,0,0,0,0,byplayer,0,0,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,335.974,0,308.0674,4,41,0,0,zzz_7404&gpwjd0560,https://telemetry-cdn.playbattlegrounds.com/bluehole-pubg/pc-kakao/2018/12/31/17/17/f083f93f-0d1f-11e9-8ac3-0a586473fb1f-telemetry.json
82a64010-bce3-4ffb-b13d-f269b11c38bd,2018-12-31T16:40:34Z,duo,Erangel_Main,False,1896,47,,0,0,0,0,byplayer,0,0,93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,136.852,0,56.8706436,4,47,0,0,zzz_7404&gpwjd0560,https://telemetry-cdn.playbattlegrounds.com/bluehole-pubg/pc-kakao/2018/12/31/17/13/6ad68b57-0d1f-11e9-af19-0a5864740041-telemetry.json
